,aligner_N021_D007_C0548.MP4_link.csv,aligner_N021_D007_C0547.MP4_link.csv,aligner_N021_D007_C0544.MP4_link.csv,aligner_N021_D007_C0542.MP4_link.csv,fronter_N021_D007_C0541.MP4_link.csv,fronter_N021_D007_C0540.MP4_link.csv,fronter_N021_D007_C0539.MP4_link.csv,fronter_N021_D007_C0538.MP4_link.csv,fronter_N021_D012_C0537.MP4_link.csv,fronter_N021_D012_C0536.MP4_link.csv,fronter_N021_D012_C0535.MP4_link.csv,fronter_N021_D012_C0534.MP4_link.csv,fronter_N021_D012_C0533.MP4_link.csv,aligner_N021_D012_C0532.MP4_link.csv,aligner_N021_D012_C0531.MP4_link.csv,updated_test_aligner_N021_D012_C0530.MP4_link.csv,aligner_N021_D012_C0529.MP4_link.csv,updated_test_aligner_N021_D018_C0527.MP4_link.csv,aligner_N021_D018_C0526.MP4_link.csv,aligner_N021_D018_C0525.MP4_link.csv,aligner_N021_D018_C0523.MP4_link.csv,fronter_N021_D018_C0521.MP4_link.csv,fronter_N021_D018_C0519.MP4_link.csv,fronter_N021_D018_C0514.MP4_link.csv,fronter_N021_D018_C0516.MP4_link.csv,fronter_N021_D018_C0517.MP4_link.csv,fronter_N021_D028_C0490.MP4_link.csv,fronter_N021_D028_C0491.MP4_link.csv,updated_test_fronter_N021_D028_C0492.MP4_link.csv,fronter_N021_D028_C0493.MP4_link.csv,updated_test_aligner_N021_D028_C0494.MP4_link.csv,aligner_N021_D028_C0495.MP4_link.csv,aligner_N021_D028_C0497.MP4_link.csv,aligner_N021_D028_C0498.MP4_link.csv,updated_test_aligner_N021_D032_C0552.MP4_link.csv,updated_test_aligner_N021_D032_C0551.MP4_link.csv,updated_test_aligner_N021_D032_C0550.MP4_link.csv,updated_test_aligner_N021_D032_C0549.MP4_link.csv,fronter_N021_D032_C0500.MP4_link.csv,fronter_N021_D032_C0501.MP4_link.csv,updated_test_fronter_N021_D032_C0502.MP4_link.csv,fronter_N021_D032_C0503.MP4_link.csv
0,1.113558676153697e-25,6.554615266921688e-26,2.698686946038623e-26,-1.043428057536909e-25,-6.91832861379889e-27,-1.4061809769483448e-26,1.0023322168411578e-19,-4.1783847107595574e-26,1.4259927552563825e-26,-4.1635537819911595e-26,2.0470344349140486e-25,5.9579577562852504e-18,1.5253018175422002e-25,3.2895772955999627e-26,-9.7431817835525e-28,-4.873822160906038e-26,-1.0156239058410062e-25,-7.184607957072396e-26,3.856977817102939e-26,-1.9379918892819423e-26,-6.0389838998938984e-27,-6.6544803877102175e-18,-6.16438282617228e-25,7.37193242979516e-25,1.5200640859755761e-24,-8.237547327256728e-24,-1.2934839397902714e-20,-5.064252456203248e-16,6.058335298314425e-22,1.360906646109135e-26,5.825809976821766e-26,7.410464743981986e-27,-8.013745832303019e-26,3.2257274096555037e-25,1.3168150501479703e-25,1.6755077569127991e-26,-2.3865030452690867e-26,1.658146266055638e-26,3.598999086678159e-17,1.1487403478974612e-22,9.128145054534677e-25,-1.085847714724209e-26
1,-7.1813145742330605e-22,-4.006065662298238e-22,-1.495893525924799e-22,7.032669633158725e-22,1.0593251743298582e-22,5.362459699276376e-23,-1.8483752623442822e-16,2.7386444566708485e-22,-6.560617930961246e-23,1.9058248672320648e-22,-1.2493192351527394e-21,-6.9066032751070295e-15,-8.313472109010257e-22,-1.4008323881368284e-22,1.2407457051065873e-23,3.140265286841717e-22,6.15437922127732e-22,4.511672465978199e-22,-2.253898832831441e-22,1.2810653996990887e-22,3.679440651707719e-23,5.1349422297294485e-15,3.1025793137122407e-21,-3.365420827706361e-21,-8.268418552392217e-21,2.7954442723431616e-20,2.3374476229660466e-17,3.731329513067165e-13,-1.3705623036256278e-18,-1.0157841622138055e-22,-3.5769617461569095e-22,-4.915207457567615e-23,4.866544244811043e-22,-1.7726356424416224e-21,-7.959651495087097e-22,-9.019448457212503e-23,1.7342616578391492e-22,-1.1475615199642847e-22,-2.933139714991498e-14,-3.5577476215513063e-19,-4.248239841848962e-21,5.9006354747833065e-22
2,1.9895469513851346e-18,1.0450771831433344e-18,3.374967764663979e-19,-2.0276919209005207e-18,-4.513488170187424e-19,-4.501210473563187e-20,1.4835348256558013e-13,-7.720079459782451e-19,1.0801255912767018e-19,-3.0407252668106517e-19,3.2741074811949427e-18,3.443222562153527e-12,1.8700907527934436e-18,2.0960204393920338e-19,-5.961467065810384e-20,-8.653759431132704e-19,-1.5866446000934605e-18,-1.2154877367869128e-18,5.565396007728773e-19,-3.6255942175994306e-19,-1.00512533631526e-19,-1.6706022420897714e-12,-6.4550707018822655e-18,6.5577111633009345e-18,1.8120387939443685e-17,-4.022204173208992e-17,-1.7898797260855592e-14,-1.189728489305176e-10,1.3174088768432373e-15,3.2097154165375935e-19,9.40376385144908e-19,1.3437021999409468e-19,-1.2582770378087954e-18,4.201141552187132e-18,2.0409216735257864e-18,1.9339572358219224e-19,-5.489334141699779e-19,3.348260695993115e-19,1.0276461193689917e-11,4.699118125719893e-16,8.389142580042078e-18,-2.3970832318904093e-18
3,-3.091433009711876e-15,-1.5214925818583044e-15,-3.906103819909349e-16,3.261988452738413e-15,9.226569001287684e-16,-8.980367633817436e-17,-6.804154903327567e-11,1.2228410148497701e-15,-5.936989952915917e-17,1.1449292893342318e-16,-4.8077166938819196e-15,-9.652223976035803e-10,-2.2166665592135274e-15,-7.921011364713805e-17,1.5168777011014546e-16,1.3316328010287736e-15,2.2691690682982976e-15,1.8372501289266695e-15,-7.572241580867186e-16,5.724793792273904e-16,1.6155667601548628e-16,2.980857495431169e-10,7.101071203381722e-15,-7.11985181294261e-15,-2.1301549138078527e-14,3.169725571964517e-14,7.556355696311261e-12,2.1478630744636138e-08,-7.008308226963698e-13,-5.643521702218696e-16,-1.3821019626795607e-15,-1.9805941004720114e-16,1.806625518913389e-15,-5.611642148672084e-15,-2.8879106685539804e-15,-2.0024055056372553e-16,9.96651219776473e-16,-5.351679029669372e-16,-2.0157754184772214e-09,-3.453254131178611e-13,-9.119553589801604e-15,4.2263785400080055e-15
4,2.948859050417618e-12,1.358168350669365e-12,2.3200969489604325e-13,-3.201543070895374e-12,-1.0650120720992516e-12,2.3301795956609426e-13,1.9683055741082558e-08,-1.193842524710569e-12,-2.872129303472692e-14,2.3725650582019394e-13,4.324885498631958e-12,1.670795526534102e-07,1.4425544752089212e-12,-1.3237889757341201e-13,-2.310968097471039e-13,-1.2541274800889767e-12,-1.9693634702661334e-12,-1.7110828961536779e-12,6.221052132971783e-13,-5.508527768343763e-13,-1.6653651442098641e-13,-3.178282722413544e-08,-4.3242295289287724e-12,4.709945380261025e-12,1.4831761303797157e-11,-1.4672024194061892e-11,-1.9188504273092992e-09,-2.4117658416092166e-06,2.249751723449353e-10,6.081405792590146e-13,1.243275957469972e-12,1.7211395228785151e-13,-1.5754267320634675e-12,4.633168952886192e-12,2.4553686575836503e-12,8.181829728461476e-14,-1.1501174222389395e-12,5.098791843916565e-13,2.411390495341834e-07,1.5422754428991313e-10,5.905937672833351e-12,-4.106878384641979e-12
5,-1.7753199395445802e-09,-7.705105603020711e-10,-4.785531240686372e-11,1.9695742298970196e-09,7.367735553797289e-10,-2.225065376481464e-10,-3.738588660197567e-06,7.42009640930707e-10,4.416200161689436e-11,-3.4820359333157684e-10,-2.445040463556236e-09,-1.8485183613290662e-05,-4.5412489025508006e-10,1.9099839367180878e-10,2.2097417316201336e-10,7.458821148524881e-10,1.0673903095417294e-09,1.0156845053980274e-09,-3.197197890109429e-10,3.3129557602277514e-10,1.1178736058076618e-10,2.065685641356414e-06,1.3139433903526733e-09,-1.945055777914054e-09,-6.3014097753780455e-09,3.913831797513813e-09,3.012263138920797e-07,0.00017420359657575307,-4.4457640885811913e-08,-4.153103734356019e-10,-7.041431823786621e-10,-9.003026210631362e-11,8.572242359997784e-10,-2.4395442991013127e-09,-1.2789619959889277e-09,2.5467910379011257e-11,8.812320006196856e-10,-2.954529434119585e-10,-1.789021028444314e-05,-4.2836162623852695e-08,-2.2861579579044445e-09,2.380716587954556e-09
6,6.678589902874465e-07,2.7958993047234024e-07,-1.8987126681456568e-08,-7.523406749544185e-07,-3.0867568476548765e-07,1.102391735931575e-07,0.0004701558578007358,-2.931598203629932e-07,-7.040907879934751e-09,2.013194248620894e-07,8.556483620322022e-07,0.0013107015347991599,9.197233550924163e-09,-1.1029409433545356e-07,-1.3319556985954158e-07,-2.7882792393143914e-07,-3.589653287275952e-07,-3.843576012288056e-07,1.0437025962689304e-07,-1.2285328049722065e-07,-4.752911045928864e-08,-7.956159366587649e-05,-6.981015018651128e-08,4.904734434883032e-07,1.6091962584457256e-06,-5.115529861668337e-07,-2.926724221989388e-05,-0.008090051795060485,5.2563890417938585e-06,1.787360249405549e-07,2.4898372176520654e-07,2.7406984956674967e-08,-2.875369649612406e-07,8.15879126335044e-07,3.9846481962847165e-07,-4.112431217485717e-08,-4.522166696728226e-07,1.0196709913615867e-07,0.0007894880888707279,7.245773497238398e-06,4.889033287574587e-07,-8.379469075179964e-07
7,-0.00015025099491607798,-6.407238089958593e-05,1.2931299378529163e-05,0.0001715932748931752,7.649985805267676e-05,-2.88490048106444e-05,-0.03845461738035302,7.135470029660663e-05,-1.0548582198615177e-05,-5.631497272641861e-05,-0.0001748548946352673,-0.05824812231108345,3.655202849461441e-05,3.327992670237621e-05,4.8994859690406e-05,6.27031106559537e-05,7.193902906259229e-05,8.99447914107431e-05,-2.2207973693585083e-05,2.6607885893078247e-05,1.192047707027188e-05,0.00167750662240935,-6.803610353224134e-05,-6.912610207093455e-05,-0.00023228602912681717,3.3843986005253266e-06,0.0017619169825082272,0.23435135228822007,-0.0003377871599159433,-4.638193487254213e-05,-5.296167735907204e-05,-4.254053435644898e-06,5.6387241721171705e-05,-0.00016745993210562845,-6.93333735593198e-05,1.6985779746469244e-05,0.0001515954132393949,-1.9685914567925067e-05,-0.017376253685203315,-0.000696502902942597,-3.986752670440628e-05,0.00017499531013261534
8,0.01855171892835037,0.008959188920828727,-0.0025199826792446445,-0.021905339835498566,-0.010570171827890591,0.0034263148159739717,1.9445287144407255,-0.009896037686763231,0.005923517055322493,0.006723786247510979,0.0183019889229788,1.5354014397475935,-0.009606218574787504,-0.005124515599140896,-0.010163328514460114,-0.007505098432955265,-0.00767669029006085,-0.011967688892564195,0.003260559483938519,-0.002966000513084118,-0.0014986760751228834,-0.019532579939439534,0.0174125139622227,0.004089438238875275,0.016625258107862813,0.006930489699277179,-0.06656741542403019,-3.946692724122618,0.008846383505543242,0.006562401986844217,0.006415632908616132,0.00017319578466092265,-0.005744308591510247,0.01967804577583364,0.005954427892678928,-0.0031146414969306273,-0.031004259892617396,0.0018914002524013092,0.014092039490854755,0.03336992075812682,-0.0035561704694268515,-0.020297033815587583
9,-1.024804535745403,-0.6914556144867847,0.12544215356245578,1.4177669383904505,0.7039328392368425,-0.10392642247388596,-54.19095555687086,0.6264710516063416,-1.1401315374329477,-0.17268998622120962,-0.7529883845490595,-21.282594142969042,0.8412973670878583,0.30529467901482127,1.0240201983714463,0.29537924371328095,0.28969783885658396,0.682239416671749,-0.31534257029150026,0.11997010453965336,0.046076855577649845,0.42157248524801505,-1.4870283292235924,0.0319597123620156,-0.44906241936712393,-0.6373237553829093,1.423030008690034,33.42426267034182,0.04515894361360189,-0.420221476148693,-0.42258851507480827,0.017556651365802964,0.22191540969250653,-1.1742456572746178,-0.22938959242309523,0.2605233212564003,3.372249262537629,-0.08263766763632005,6.897338670389513,-0.712780923842545,0.7524216663834119,1.1617482296827228
