,aligner_N021_D007_C0548.MP4_link.csv,aligner_N021_D007_C0547.MP4_link.csv,aligner_N021_D007_C0544.MP4_link.csv,aligner_N021_D007_C0542.MP4_link.csv,fronter_N021_D007_C0541.MP4_link.csv,fronter_N021_D007_C0540.MP4_link.csv,fronter_N021_D007_C0539.MP4_link.csv,fronter_N021_D007_C0538.MP4_link.csv,fronter_N021_D012_C0537.MP4_link.csv,fronter_N021_D012_C0536.MP4_link.csv,fronter_N021_D012_C0535.MP4_link.csv,fronter_N021_D012_C0534.MP4_link.csv,fronter_N021_D012_C0533.MP4_link.csv,aligner_N021_D012_C0532.MP4_link.csv,aligner_N021_D012_C0531.MP4_link.csv,updated_test_aligner_N021_D012_C0530.MP4_link.csv,aligner_N021_D012_C0529.MP4_link.csv,updated_test_aligner_N021_D018_C0527.MP4_link.csv,aligner_N021_D018_C0526.MP4_link.csv,aligner_N021_D018_C0525.MP4_link.csv,aligner_N021_D018_C0523.MP4_link.csv,fronter_N021_D018_C0521.MP4_link.csv,fronter_N021_D018_C0519.MP4_link.csv,fronter_N021_D018_C0514.MP4_link.csv,fronter_N021_D018_C0516.MP4_link.csv,fronter_N021_D018_C0517.MP4_link.csv,fronter_N021_D028_C0490.MP4_link.csv,fronter_N021_D028_C0491.MP4_link.csv,updated_test_fronter_N021_D028_C0492.MP4_link.csv,fronter_N021_D028_C0493.MP4_link.csv,updated_test_aligner_N021_D028_C0494.MP4_link.csv,aligner_N021_D028_C0495.MP4_link.csv,aligner_N021_D028_C0497.MP4_link.csv,aligner_N021_D028_C0498.MP4_link.csv,updated_test_aligner_N021_D032_C0552.MP4_link.csv,updated_test_aligner_N021_D032_C0551.MP4_link.csv,updated_test_aligner_N021_D032_C0550.MP4_link.csv,updated_test_aligner_N021_D032_C0549.MP4_link.csv,fronter_N021_D032_C0500.MP4_link.csv,fronter_N021_D032_C0501.MP4_link.csv,updated_test_fronter_N021_D032_C0502.MP4_link.csv,fronter_N021_D032_C0503.MP4_link.csv
0,1.1207876389696157e-25,2.1728010479528345e-26,2.2312096341986786e-26,-3.935110192972493e-26,3.899660239963579e-26,-7.553776022582527e-26,7.884600738740666e-20,-3.7208626835847713e-26,-1.9461253428271224e-26,-1.0769230236857811e-25,-3.54460396549616e-25,-2.2865519604918465e-18,-8.7982708976352e-26,-1.8414516314707983e-25,-2.639129287269818e-26,-7.683055069829846e-26,-5.685495985393506e-26,-3.4214529909473304e-26,1.0364456294157527e-27,-4.422782281406013e-26,5.876005932855045e-26,-1.8095731541754328e-17,2.755942828572652e-25,2.631391283341021e-24,6.078139516076388e-24,-5.0643358119566806e-24,3.925271775693268e-21,-3.456141551238252e-16,-2.304519336448243e-23,-5.134408674361628e-26,1.0994326932958483e-26,-5.859185556078215e-26,-7.557581626939272e-26,-8.358212294231332e-25,-1.329987064269651e-25,-1.7735674550677304e-26,-3.2453827402757565e-26,-3.0730531458075384e-27,3.0688749664355575e-16,3.091243465412576e-22,2.690900886973977e-24,6.835567535109008e-25
1,-6.729661880011586e-22,-1.7010250247509615e-22,-1.5203393194751357e-22,2.588031413793249e-22,-2.524844354471644e-22,4.772141198426209e-22,-1.3898135834411642e-16,2.3004980971946055e-22,1.5234718606806772e-22,7.118022467526805e-22,2.197231031286328e-21,2.6281048660026234e-15,4.839087173708825e-22,1.0543156090399926e-21,2.0094140304138768e-22,4.8635769155571445e-22,4.367942364093983e-22,1.9475149740048284e-22,1.8662304662150482e-23,2.650215592950484e-22,-3.61695171372679e-22,1.6177310822368714e-14,-1.0312877756365714e-21,-1.124006643215782e-20,-2.3068308813810123e-20,1.9269793693199705e-20,-6.780928855256705e-18,2.603584342324218e-13,4.579305312775682e-20,3.092422337876838e-22,-6.21699199283187e-23,3.5884127241956757e-22,4.487926874861603e-22,4.589183498139323e-21,8.452652395709615e-22,1.1107276118311588e-22,2.462717929500463e-22,2.1375321191620678e-23,-2.628216084519118e-13,-9.063698575686765e-19,-1.2432609213578973e-20,-2.958817317056809e-21
2,1.7073201666105777e-18,5.516839374941903e-19,4.307484239660194e-19,-7.180162682057642e-19,6.903596339284247e-19,-1.2786449549285476e-18,1.0573533151269538e-13,-6.001468150358161e-19,-4.980676486373623e-19,-1.9905865401260876e-18,-5.858839870599022e-18,-1.2876493741381648e-12,-1.1119854630899543e-18,-2.603944849753076e-18,-6.586988161558716e-19,-1.3141739246490566e-18,-1.3969255276905831e-18,-4.687369898429314e-19,-1.225888693668366e-19,-6.728332675227533e-19,9.460051804533976e-19,-6.200833289621386e-12,1.2658458757809365e-18,2.0745031575360657e-17,3.671017170136878e-17,-3.191651035980631e-17,4.6927801745979536e-15,-8.546936125636311e-11,-4.57278669867991e-17,-7.8537796791260055e-19,1.462567639955535e-19,-9.373888131020749e-19,-1.1355835617011294e-18,-1.0766104978523053e-17,-2.293890473287775e-18,-2.899712413196821e-19,-8.08028863190978e-19,-6.204291062845645e-20,9.848493783305894e-11,1.1378550507872197e-15,2.4563042608275054e-17,5.399248881378255e-18
3,-2.377113619495902e-15,-9.742081296314839e-16,-6.587687290817142e-16,1.0853017422867703e-15,-1.03538739727532e-15,1.891760767151654e-15,-4.544422727061294e-11,8.567879421816971e-16,8.93492044942189e-16,3.0603288896658815e-15,8.778677067534664e-15,3.506968784312811e-10,1.382328934472532e-15,3.627072434824451e-15,1.2139306670716632e-15,1.9780727939689356e-15,2.435679425976127e-15,6.197305872700688e-16,3.006924423137666e-16,9.419942607312125e-16,-1.3681793661193845e-15,1.3298208430787425e-09,-1.2518133935103413e-16,-2.160682869715091e-14,-3.16424244254643e-14,2.9994722535139827e-14,-1.5827419645912811e-12,1.6040927484936048e-08,3.084387662479826e-14,1.089735595546458e-15,-1.8271119698582556e-16,1.3618911014902467e-15,1.597222043344387e-15,1.4089389627411635e-14,3.4701551175212e-15,4.0666796509685174e-16,1.5026253803716994e-15,9.668347667089275e-17,-2.1224148109018993e-08,-8.015320578377426e-13,-2.71032529034424e-14,-5.383485707716624e-15
4,1.973430047718575e-12,1.027829576195204e-12,5.895898248858901e-13,-9.601628519481053e-13,9.251723209506717e-13,-1.6845454177406114e-12,1.212971392108904e-08,-7.253769663805484e-13,-9.697986125275377e-13,-2.811785934586373e-12,-8.099289044644333e-12,-5.802821731708837e-08,-1.0031874447075082e-12,-3.12479713929206e-12,-1.377395610648038e-12,-1.8171709196567416e-12,-2.5354970513439493e-12,-4.869585349072698e-13,-3.897494138648189e-13,-7.927460146832357e-13,1.1915438882778454e-12,-1.7463780955422528e-07,-1.1306717538577015e-12,1.3901193088114233e-11,1.586258862164871e-11,-1.7470734199446648e-11,2.158203361012887e-10,-1.89816854356014e-06,-1.4487967436091642e-11,-8.92331952897677e-13,1.259821883283128e-13,-1.2024478524754724e-12,-1.3666650661665266e-12,-1.1268859661733962e-11,-3.204544469938572e-12,-3.2853296150106537e-13,-1.7450612138969355e-12,-8.621885348459741e-14,2.907688967993384e-06,3.488601962294097e-10,1.8312596609887912e-11,3.165640414520186e-12
5,-9.928681785393375e-10,-6.64655351873669e-10,-3.122779596779618e-10,4.927308987580346e-10,-4.999730454059083e-10,9.226022143827415e-10,-2.082649761598536e-06,3.6889900252319806e-10,6.625641431130023e-10,1.5704119706762754e-09,4.739260049253438e-09,5.985472585018517e-06,4.2463730174040927e-10,1.7159439665747593e-09,9.903870000710306e-10,1.051806494499493e-09,1.6168220842522327e-09,2.2611989316864517e-10,2.920338226434713e-10,4.0996757471422413e-10,-6.360744455076359e-10,1.444929119655106e-05,1.183554300854054e-09,-5.676748906395084e-09,-4.567490573505537e-09,6.466979934166494e-09,2.0186262926543957e-08,0.00014733268305640657,4.471103702523867e-09,4.3235258038716186e-10,-4.178768794748562e-11,6.615211971137736e-10,7.324567343602608e-10,5.677008952656693e-09,1.8600834144520616e-09,1.5186265682646902e-10,1.3153216082554981e-09,4.2666485688676405e-11,-0.00026413815181307104,-9.739307065828327e-08,-7.820899036631757e-09,-1.0915225458680159e-09
6,2.937804588466717e-07,2.5784971790654673e-07,9.370038377790354e-08,-1.326740978099555e-07,1.5770731899790292e-07,-3.054569058075181e-07,0.00023068319298897138,-1.0949481887041732e-07,-2.881897429690485e-07,-5.179241855141712e-07,-1.7454162060256886e-06,-0.0003798718514325885,-9.633824373462623e-08,-5.958263974198138e-07,-4.4758382054393266e-07,-3.834981711121792e-07,-6.214844960841833e-07,-5.415256260638236e-08,-1.268557157629255e-07,-1.2813393858413217e-07,2.0103015932903235e-07,-0.0007469380765667707,-5.619813771277251e-07,1.4547738165693278e-06,6.711583934772908e-07,-1.4979528656317304e-06,-1.1727953791311857e-05,-0.007565101145341921,-8.454688890091341e-07,-1.1626053885815267e-07,3.354242458936778e-10,-2.2333895619033088e-07,-2.44504265582034e-07,-1.7915793690673626e-06,-6.741342222300885e-07,-3.752754320631521e-08,-6.478232297726308e-07,-9.591150741156386e-09,0.01608710313676333,1.752024159596566e-05,2.1056197518176286e-06,1.9594375800516152e-07
7,-4.697932871480703e-05,-5.5321445452078206e-05,-1.3822062943827738e-05,1.228070661842915e-05,-2.592925639246726e-05,5.846211181790096e-05,-0.016123051901974748,1.8168551575499694e-05,7.933224533705797e-05,9.282724591756745e-05,0.0003872979333174272,0.01411049242628836,8.180233834143515e-06,0.00012497588106015063,0.00012194604951172357,8.580350610633545e-05,0.00013550304074918832,1.5078787782742835e-06,2.98567973172197e-05,2.310666534669599e-05,-3.32358624581714e-05,0.023101606157777926,0.00014231727088321415,-0.0002238207371404686,-2.7471515247483966e-05,0.00020367805835410166,0.001732741779343102,0.25292652505255064,9.192924309489786e-05,1.4339909493867143e-05,4.10536631457971e-06,4.384726404494622e-05,4.897219384488574e-05,0.0003413705947503882,0.00014676455995988238,4.523806751598458e-06,0.00020437457088407485,-1.9525907814715642e-07,-0.6476714833497106,-0.001978554365420567,-0.0003451150196835515,-7.597244768036334e-06
8,0.0034104874621611685,0.005246779798865589,0.0005053836877133682,0.0013879901464950778,0.0014513567933980586,-0.006228017491178651,0.6768431504981385,-0.0018173425322138231,-0.013460219568351904,-0.007574623893302358,-0.04688879809833256,-0.2778744307449064,0.0004717428456617363,-0.014301346786069495,-0.01847577407273077,-0.011082627719685887,-0.0145614630984495,0.0024439210809400974,-0.0031771659846807324,-0.0022567794195137146,0.0017058002352536984,-0.3896058999491795,-0.019623817732006228,0.01940830249095539,-0.0034139404013904663,-0.013528330147576996,-0.11933739640533443,-5.261217895269933,-0.005955887535674251,-0.00036759564703632097,-0.0011031907993558213,-0.0045881709266374,-0.005354327439054316,-0.03647737066087029,-0.017644909601369392,-0.00036588184441537,-0.03906334715685812,0.0004355274631239045,16.470946655252828,0.13021781484348666,0.03152591953707,-0.0032397936304432813
9,-0.09896322635520675,-0.05207374739832164,0.07053392929401173,-0.30225453166754074,0.08662538870165838,0.40149874302776317,-15.494293483992957,0.14217697482113767,1.2876242555292818,0.18958954725050992,2.459528271097052,2.5315597795708134,-0.05268763588478518,0.72512687550865,1.3869174357603027,0.7145795506148984,0.5109595692651561,-0.5177326904443715,0.08952230094617722,0.1142491034946534,0.147728555537141,3.1311411599880183,1.492873373058148,-0.9802489284028458,0.3279737089466552,0.10979001529207758,3.914881639807617,61.592509796242084,0.35914869957250123,0.018536127667743745,0.10922349822711999,0.2695409106194166,0.22919990557426856,1.9018705206478983,0.9700737202002886,-0.018328617489374064,4.0010883684101435,-0.03984376995834815,-238.42377372666743,-4.284022715702254,-1.2609582509880632,0.5345956826954142
