,0
532,1.08
533,2.24
534,0.04
535,2.72
536,2.32
537,1.0
538,3.28
539,0.04
540,2.68
541,1.28
542,3.16
543,0.08
544,2.2
545,7.08
546,13.16
547,0.04
548,0.12
549,0.12
550,8.16
551,0.04
552,6.8
553,0.12
554,0.08
555,0.04
556,6.48
557,0.04
558,0.08
559,14.0
560,0.04
561,0.08
562,0.04
563,60.16
564,0.12
565,0.04
566,0.04
567,3.84
568,0.04
569,8.08
570,0.12
571,0.04
572,0.04
573,10.92
574,0.04
575,0.08
576,0.04
577,0.04
578,7.48
579,27.08
580,0.04
581,14.16
582,0.04
583,0.04
584,0.04
585,19.84
586,23.2
587,0.04
588,14.0
589,5.04
590,6.76
591,18.48
592,0.04
593,0.04
594,0.04
595,47.88
596,46.84
597,0.04
598,26.28
599,0.04
600,5.48
601,0.08
602,0.04
603,0.04
604,7.92
605,0.12
606,0.04
607,11.64
608,0.12
609,5.48
610,0.08
611,0.04
612,5.04
613,0.08
614,0.08
615,2.44
616,11.08
617,3.32
618,3.64
619,7.4
620,0.08
621,8.8
622,0.12
623,0.04
624,2.6
625,0.04
626,7.76
627,1.52
628,3.72
629,0.08
630,34.4
631,0.08
632,0.04
633,0.04
634,4.8
635,9.96
636,0.4
637,0.16
638,0.4
639,0.4
640,0.12
641,0.24
642,0.12
643,0.04
644,0.12
645,0.04
646,0.12
647,0.04
648,0.04
649,3.8
650,11.72
651,0.08
652,0.08
653,5.92
654,0.04
655,2.04
656,1.28
657,0.04
658,0.04
659,0.04
660,3.4
661,0.08
662,0.04
663,8.8
664,0.04
665,7.36
666,0.08
667,0.16
668,5.68
669,9.4
670,13.36
671,6.16
672,0.04
673,0.08
674,16.68
675,0.04
676,0.04
677,1.2
678,0.88
679,0.08
680,0.04
681,1.96
682,1.56
683,0.04
684,0.04
685,1.52
686,0.16
687,2.16
688,0.04
689,0.04
690,0.04
691,0.04
692,1.36
693,0.12
694,1.76
695,0.04
696,0.16
697,1.48
698,0.04
699,0.04
700,0.04
701,0.04
702,1.56
703,0.04
704,0.08
705,1.56
706,0.04
707,0.08
708,0.92
709,0.16
710,0.04
711,0.12
712,0.04
713,1.72
714,0.04
715,2.28
716,0.08
717,2.72
718,0.04
719,3.0
720,0.08
721,0.04
722,2.56
723,3.16
724,4.12
725,0.04
726,3.24
727,2.08
728,1.64
729,0.04
730,0.04
731,3.16
732,0.04
733,4.52
734,0.08
735,1.48
736,0.04
737,0.04
738,0.24
739,0.08
740,0.2
741,4.68
742,0.04
743,21.04
744,0.04
745,6.48
746,0.12
747,0.12
748,6.76
749,0.32
750,0.04
751,0.04
752,0.04
753,0.04
754,0.04
755,16.16
756,0.04
757,0.12
758,4.72
759,0.16
760,0.12
761,0.04
762,13.28
763,0.2
764,0.04
765,0.04
766,1.72
767,0.08
768,12.12
769,0.08
770,0.08
771,0.04
772,0.04
773,0.04
774,0.04
775,0.32
776,0.52
777,11.76
778,0.16
779,0.04
780,0.04
781,16.28
782,0.08
783,23.84
784,2.84
785,0.04
786,13.84
787,2.2
788,5.36
789,4.6
790,53.92
791,0.12
792,0.04
793,0.04
794,23.28
795,0.04
796,0.04
797,2.32
798,0.08
799,0.04
800,4.28
801,0.04
802,3.92
803,2.88
804,0.04
805,0.04
806,0.04
807,2.24
808,4.32
809,0.04
810,0.12
811,0.2
812,0.08
813,0.04
814,0.08
815,3.84
816,0.04
817,3.24
818,0.16
819,0.8
820,0.2
821,0.12
822,0.04
823,0.04
824,2.48
825,0.04
826,0.04
827,0.04
828,0.08
829,1.56
830,0.04
831,0.92
832,0.12
833,0.08
834,0.56
835,0.44
836,0.16
837,0.16
838,6.56
839,0.16
840,2.84
841,6.48
842,0.04
843,1.84
844,0.04
845,2.4
846,0.16
847,3.2
848,0.04
849,0.04
850,2.84
851,0.04
852,0.04
853,3.08
854,0.04
855,0.04
856,1.96
857,0.08
858,0.04
859,2.88
860,0.04
861,0.12
862,1.88
863,0.08
864,0.04
865,0.08
866,0.08
867,0.08
868,0.04
869,0.04
870,0.04
871,0.04
872,0.08
873,0.2
874,2.24
875,0.04
876,0.04
877,0.04
878,0.04
879,5.84
880,0.32
881,7.12
882,16.52
883,12.92
884,0.08
885,0.04
886,0.08
887,0.12
888,0.04
889,0.48
890,0.16
891,0.24
892,0.08
893,0.04
894,8.16
895,0.56
896,0.08
897,0.4
898,0.2
899,0.08
900,0.04
901,7.28
902,0.04
903,11.04
904,0.04
905,1.4
906,0.24
907,0.04
908,2.08
909,0.04
910,5.64
911,0.04
912,0.04
913,3.52
914,2.56
915,0.04
916,7.36
917,0.04
918,10.2
919,5.72
920,0.04
921,2.76
922,27.52
923,0.04
924,0.04
925,0.04
926,26.8
927,0.12
928,2.08
929,0.04
930,0.04
931,0.04
932,0.04
933,3.04
934,6.68
935,0.04
936,0.04
937,3.0
938,6.88
939,0.04
940,3.64
941,6.6
942,0.04
943,35.88
944,0.08
945,0.04
946,6.36
947,0.04
948,0.04
949,0.08
950,3.0
951,0.04
952,2.4
953,0.16
954,0.08
955,0.92
956,0.04
957,0.04
958,0.04
959,2.84
960,0.04
961,2.72
962,0.04
963,1.28
964,0.08
965,0.04
966,2.08
967,0.04
968,0.08
969,0.04
970,0.12
971,6.2
972,0.08
973,5.16
974,0.04
975,0.04
976,0.04
977,0.04
978,0.04
979,19.52
980,0.04
981,17.8
982,12.52
983,0.16
984,0.04
985,0.04
986,0.04
987,2.44
988,0.04
989,0.04
990,0.04
991,0.16
992,1.88
993,0.04
994,3.24
995,4.12
996,0.04
997,2.24
998,0.04
999,16.04
1000,0.04
1001,45.52
1002,0.04
1003,0.04
1004,0.08
1005,37.44
1006,0.04
1007,28.32
1008,0.08
1009,4.4
1010,0.12
1011,0.04
1012,2.72
1013,0.04
1014,0.04
1015,6.24
1016,0.04
1017,0.04
1018,0.04
1019,4.8
1020,10.64
1021,0.04
1022,4.4
1023,0.16
1024,0.04
1025,5.52
1026,0.04
1027,10.44
1028,4.6
1029,0.44
1030,0.04
1031,0.72
1032,0.12
1033,23.52
1034,9.2
1035,0.04
1036,5.6
1037,0.04
1038,0.04
1039,2.04
1040,1.68
1041,0.04
1042,4.44
1043,0.28
1044,29.48
1045,0.36
1046,0.24
1047,0.04
1048,0.12
1049,3.52
1050,0.04
1051,0.04
1052,29.44
1053,0.08
1054,4.12
1055,0.04
1056,0.04
1057,0.04
1058,4.0
1059,0.32
1060,0.04
1061,0.88
1062,3.56
1063,0.04
1064,23.76
1065,3.52
1066,0.04
1067,11.24
1068,8.84
1069,4.32
1070,4.32
1071,0.64
1072,38.36
1073,0.04
1074,0.08
1075,0.04
1076,0.04
1077,0.04
1078,0.12
1079,0.04
1080,0.04
1081,0.08
1082,0.04
1083,0.08
1084,112.72
1085,12.08
1086,13.88
1087,10.28
1088,0.12
1089,0.2
1090,4.08
1091,0.04
1092,2.92
1093,3.84
1094,5.2
1095,24.64
1096,0.08
1097,3.88
1098,0.04
1099,0.04
1100,4.84
1101,0.04
1102,1.84
1103,0.04
1104,1.64
1105,0.04
1106,0.04
1107,2.28
1108,0.04
1109,0.04
1110,0.04
1111,0.12
1112,0.04
1113,0.04
1114,0.04
1115,1.8
1116,2.08
1117,0.12
1118,0.04
1119,0.92
1120,0.04
1121,0.08
1122,1.32
1123,0.04
1124,2.2
1125,0.04
1126,0.04
1127,0.04
1128,0.04
1129,1.52
1130,0.04
1131,2.32
1132,0.04
1133,0.04
1134,0.12
1135,1.64
1136,0.04
1137,0.88
1138,2.28
1139,0.04
1140,2.88
1141,2.88
1142,2.0
1143,0.04
1144,2.04
1145,0.04
1146,3.28
1147,0.04
1148,3.8
1149,0.08
1150,1.72
1151,0.04
1152,0.04
1153,0.04
1154,0.04
1155,0.04
1156,0.04
1157,2.6
1158,0.04
1159,0.04
1160,1.92
1161,0.04
1162,2.6
1163,0.08
1164,3.2
1165,0.04
1166,0.04
1167,0.04
1168,1.72
1169,2.76
1170,0.04
1171,1.6
1172,0.04
1173,0.04
1174,0.04
1175,0.04
1176,0.04
1177,0.04
1178,0.04
1179,0.04
1180,0.08
1181,0.04
1182,0.08
1183,0.2
1184,0.08
1185,0.04
1186,0.04
1187,0.04
1188,2.44
1189,0.16
1190,0.04
1191,0.04
1192,2.8
1193,0.04
1194,0.08
1195,0.04
1196,2.24
1197,3.28
1198,0.04
1199,0.04
1200,2.16
1201,0.12
1202,1.08
1203,0.04
1204,2.16
1205,0.04
1206,1.88
1207,0.2
1208,0.04
1209,2.96
1210,0.04
1211,2.8
1212,0.08
1213,0.04
1214,0.04
1215,2.04
1216,4.32
1217,0.04
1218,1.76
1219,0.2
1220,0.04
1221,1.28
1222,0.04
1223,2.4
1224,0.04
1225,25.04
1226,0.12
1227,0.08
1228,3.4
1229,0.08
1230,13.84
1231,0.08
1232,19.64
1233,0.04
1234,17.24
1235,0.04
1236,0.04
1237,21.28
1238,0.08
1239,3.36
1240,0.04
1241,1.68
1242,5.32
1243,0.08
1244,4.44
1245,0.04
1246,3.8
1247,0.12
1248,0.2
1249,0.04
1250,3.28
1251,6.68
1252,4.16
1253,0.04
1254,3.76
1255,5.32
1256,0.08
1257,0.04
1258,0.04
1259,0.16
1260,0.08
1261,1.88
1262,0.08
1263,0.04
1264,0.04
1265,77.68
1266,0.04
1267,0.12
1268,0.04
1269,0.04
1270,0.04
1271,0.12
1272,0.04
1273,34.12
1274,0.08
1275,0.08
1276,0.04
1277,0.08
1278,0.04
1279,0.04
1280,0.08
1281,0.04
1282,0.04
1283,0.04
1284,0.08
1285,0.04
1286,0.04
1287,0.04
1288,20.84
1289,0.24
1290,0.04
1291,0.04
1292,0.04
1293,0.04
1294,0.04
1295,0.36
1296,0.12
1297,0.12
1298,0.08
1299,0.08
1300,0.04
1301,0.12
1302,0.04
1303,0.08
1304,0.16
1305,0.12
1306,0.48
1307,20.8
1308,0.04
1309,0.04
1310,0.04
1311,0.04
1312,0.08
1313,0.04
1314,0.04
1315,0.04
1316,0.04
1317,0.12
1318,3.96
1319,0.04
1320,0.2
1321,8.0
1322,0.04
1323,6.96
1324,18.96
1325,0.08
1326,0.8
1327,11.08
1328,0.04
1329,0.04
1330,0.08
1331,0.08
1332,0.08
1333,3.44
1334,0.28
1335,0.04
1336,0.04
1337,0.04
1338,17.32
1339,0.2
1340,0.04
1341,0.08
1342,0.04
1343,10.64
1344,11.52
1345,0.04
1346,0.04
1347,21.8
1348,0.04
1349,7.36
1350,0.04
1351,0.04
1352,3.44
1353,0.04
1354,0.04
1355,310.08
1356,0.08
1357,0.08
1358,19.68
1359,37.56
1360,0.04
1361,0.04
1362,0.04
1363,10.8
1364,0.04
1365,0.04
1366,12.92
1367,0.04
1368,0.08
1369,15.64
1370,181.24
1371,0.04
1372,12.36
1373,3.12
1374,0.04
1375,2.32
1376,3.04
1377,0.04
1378,3.4
1379,0.08
1380,0.04
1381,0.04
1382,4.48
1383,0.04
1384,19.72
1385,0.12
1386,21.32
1387,0.2
1388,0.04
1389,2.84
1390,0.04
1391,0.08
1392,31.08
1393,0.12
1394,26.92
1395,7.96
1396,0.04
1397,0.12
1398,0.08
1399,0.2
1400,0.68
1401,14.68
1402,11.2
1403,0.04
1404,0.04
1405,18.0
1406,0.44
1407,0.04
1408,0.04
1409,0.04
1410,0.16
1411,0.08
1412,0.08
1413,2.84
1414,0.08
1415,0.04
1416,0.04
1417,0.04
1418,1.96
1419,0.04
1420,0.04
1421,3.48
1422,0.04
1423,83.88
1424,9.76
1425,10.12
1426,0.04
1427,8.64
1428,5.24
1429,2.16
1430,13.24
1431,1.36
1432,0.04
1433,4.84
1434,0.04
1435,1.52
1436,0.04
1437,112.08
1438,7.32
1439,0.12
1440,0.08
1441,0.44
1442,0.2
1443,0.32
1444,0.04
1445,0.16
1446,0.08
1447,0.04
1448,0.04
1449,0.04
1450,0.12
1451,4.36
1452,0.04
1453,0.28
1454,0.16
1455,0.32
1456,0.16
1457,0.32
1458,0.04
1459,0.16
1460,5.4
1461,0.04
1462,0.04
1463,32.32
1464,0.04
1465,3.16
1466,10.44
1467,3.2
1468,0.04
1469,12.64
1470,0.12
1471,0.04
1472,22.8
1473,2.24
1474,11.08
1475,0.04
1476,5.4
1477,0.04
1478,31.72
1479,0.04
1480,1.44
1481,0.04
1482,4.96
1483,0.2
1484,0.04
1485,1.2
1486,0.04
1487,2.4
1488,8.12
1489,0.08
1490,0.04
1491,8.0
1492,0.04
1493,2.76
1494,0.08
1495,28.6
1496,0.04
1497,0.04
1498,22.44
1499,0.04
1500,3.2
1501,0.04
1502,13.92
1503,0.12
1504,1.96
1505,2.32
1506,0.04
1507,73.56
1508,34.4
1509,0.04
1510,34.36
1511,46.4
1512,0.16
1513,0.04
1514,1.4
1515,0.04
1516,0.04
1517,0.04
1518,0.08
1519,0.08
1520,0.68
1521,0.04
1522,0.04
1523,0.04
1524,1.36
1525,0.04
1526,6.16
1527,1.12
1528,0.04
1529,0.04
1530,1.28
1531,0.04
1532,2.0
1533,0.04
1534,0.04
1535,0.04
1536,0.04
1537,6.72
1538,0.12
1539,1.6
1540,0.04
1541,7.48
1542,6.44
1543,5.56
1544,0.04
1545,0.64
1546,1.84
1547,0.08
1548,2.84
1549,0.08
1550,8.12
1551,1.68
1552,2.04
1553,0.04
1554,4.0
1555,1.92
1556,2.92
1557,6.48
1558,3.2
1559,3.24
1560,3.8
1561,0.04
1562,2.28
1563,0.04
1564,2.4
1565,0.04
1566,1.48
1567,47.4
1568,0.04
1569,24.04
1570,0.12
1571,0.04
1572,12.36
1573,0.24
1574,0.04
1575,15.44
1576,0.08
1577,0.04
1578,15.52
1579,10.84
1580,0.04
1581,5.24
1582,7.92
1583,0.04
1584,0.04
1585,11.76
1586,0.04
1587,7.36
1588,0.04
1589,8.84
1590,0.08
1591,3.84
1592,4.68
1593,0.12
1594,0.04
1595,7.76
1596,8.56
1597,3.64
1598,4.76
1599,0.16
1600,0.04
1601,3.64
1602,0.08
1603,7.44
1604,0.08
1605,0.16
1606,0.04
1607,0.04
1608,0.12
1609,0.04
1610,0.04
1611,0.16
1612,1.2
1613,0.04
1614,1.88
1615,4.0
1616,0.04
1617,0.76
1618,0.72
1619,0.24
1620,6.32
1621,0.04
1622,0.04
1623,24.8
1624,9.84
1625,0.04
1626,0.08
1627,3.56
1628,2.04
1629,43.96
1630,0.04
1631,0.04
1632,0.04
1633,0.04
1634,17.28
1635,0.12
1636,0.04
1637,0.04
1638,0.12
1639,15.64
1640,0.04
1641,0.08
1642,0.04
1643,2.84
1644,0.04
1645,32.0
1646,0.04
1647,0.04
1648,2.04
1649,0.08
1650,10.92
1651,0.08
1652,0.04
1653,0.04
1654,0.04
1655,26.68
1656,32.76
1657,0.04
1658,0.08
1659,0.08
1660,5.84
1661,3.32
1662,0.08
1663,0.04
1664,1.92
1665,0.04
1666,0.04
1667,2.32
1668,0.08
1669,3.68
1670,0.12
1671,4.76
1672,5.48
1673,0.04
