,diameter,BotType,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err
0,7,fronter,1.209949994281137,0.000995039456808976,0.27407031353465866,0.0024251512009079556,1.3451197559429273,0.000995039456808976,0.21281067364547143,0.0024251512009079556
0,7,aligner,1.2032529807402246,0.000995039456808976,0.2069735870353042,0.0024251512009079556,1.2290984957238065,0.000995039456808976,0.20592817222898932,0.0024251512009079556
0,12,fronter,1.4697573805449837,0.000995039456808976,0.25069303155937206,0.0024251512009079556,1.6595479277509515,0.000995039456808976,0.16991595506607418,0.0024251512009079556
0,12,aligner,1.2925408504625926,0.000995039456808976,0.14903857240196228,0.0024251512009079556,1.4696575540329384,0.000995039456808976,0.10391467862511694,0.0024251512009079556
0,18,fronter,1.6515297116438727,0.000995039456808976,0.09521685027886462,0.0024251512009079556,1.751223630862416,0.000995039456808976,0.07799096449848922,0.0024251512009079556
0,18,aligner,1.3427578708414245,0.000995039456808976,0.02704311360922439,0.0024251512009079556,1.453409728161974,0.000995039456808976,0.021718246211618296,0.0024251512009079556
0,28,fronter,1.7004972913983,0.000995039456808976,0.038827725628051105,0.0024251512009079556,1.7645924424943742,0.000995039456808976,0.033949370534913696,0.0024251512009079556
0,28,aligner,1.5440106189279748,0.000995039456808976,0.022543883334594835,0.0024251512009079556,1.6326252057904793,0.000995039456808976,0.01886413173173954,0.0024251512009079556
0,32,fronter,1.7111663736596465,0.000995039456808976,0.05013660469463993,0.0024251512009079556,1.816885158772394,0.000995039456808976,0.03995311482600017,0.0024251512009079556
0,32,aligner,1.6319955919890978,0.000995039456808976,0.01641317529088949,0.0024251512009079556,1.6745531985875868,0.000995039456808976,0.014875830857974021,0.0024251512009079556
