,x_fronters [diameter_kappa],y_fronters_density_lambda,fronter_lambda_error,x_aligners[diameter_kappa],y_aligners_density_lambda,aligner_lambda_error
0,-0.43750000000000006,0.07887813061374091,0.026987782391133888,0.43750000000000006,0.09070793154996298,0.03819745122190037
1,-0.75,0.06948053507367596,0.027097253668964497,0.75,0.12160299272337204,0.023876586522357558
2,-1.125,0.13569295492166483,0.02236912672017231,1.125,0.09025001148661592,0.016631877871975287
3,-1.7500000000000002,0.20486711017109252,0.028216415366069624,1.7500000000000002,0.12707667153443328,0.014628427901815639
4,-2.0,0.2002326773357488,0.030354000485060456,2.0,0.12271744137483023,0.016206678552334177
