bots No.,fronter_data,fronter_err,aligner_data,aligner_err
1,0.037913604076267975,0.020991314409254825,0.035572623027294865,0.009452433441795312
4,0.13252496415888684,0.044135871627280755,0.04242651644998601,0.013226818905629417
8,0.11865952681606125,0.030259135214237124,0.08196362324060716,0.013517395097568356
16,0.16863633766343894,0.05423668390873611,0.09285164681424443,0.01314969093053909
21,0.2746829540192309,0.10029149504102926,0.10269663597593173,0.011641117257535938
53,0.3652705512018784,0.10826904288460164,0.10627279032126978,0.016134021717771712
