,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,Bot_num
0,fronter_N001_D028_C0556.MP4_link.csv,1.5456670618134611,0.0017543854824022178,0.003192656817523186,0.005499842792527091,1.6383789850866204,0.0018808290741574004,0.0024988821659047383,0.004584034204196071,fronter,1
0,fronter_N001_D028_C0555.MP4_link.csv,1.883291979566745,0.0006499577456774612,0.008289388844406843,0.0020375598484449146,1.916101224351032,0.0004058395465394494,0.007620228438293226,0.0009891288778413412,fronter,1
0,updated_test_fronter_N001_D028_C0554.MP4_link.csv,0.9315864279498616,0.00276186805997915,0.005104906460709105,0.00865821129027324,0.9676618293064929,0.00434134555331899,0.004404513694239148,0.010580906479837358,fronter,1
0,updated_test_fronter_N001_D028_C0553.MP4_link.csv,0.11363447769133286,0.0012451438504751207,0.011285964017680956,0.0039034154584713008,0.06454117478437699,0.0007468089634050131,0.012459446860326741,0.001820153615728235,fronter,1
0,aligner_N001_D028_C0575.MP4_link.csv,1.3081606386426499,0.002913140126481668,0.004147996338036521,0.009132435689172578,1.474496524674623,0.0010099278466573253,0.002814084623042082,0.002461437832067478,aligner,1
0,aligner_N001_D028_C0574.MP4_link.csv,1.53485450151797,0.0029341144013213965,0.0035446555580960623,0.009198188210328508,1.6955032129563739,0.0008671678561686751,0.0024381284062133493,0.0021134972930127952,aligner,1
0,aligner_N001_D028_C0573.MP4_link.csv,1.5609046427386768,0.00338337824172735,0.009978092999060087,0.010606590495849609,1.72571577228394,0.002185545090478593,0.0070617650550640785,0.005326700637381357,aligner,1
0,aligner_N001_D028_C0572.MP4_link.csv,0.6539681310434401,0.002255854014200288,0.005297558952043276,0.007071902138879124,0.8012049146540627,0.004726935798730739,0.0038843894972640787,0.011520682934185667,aligner,1
0,fronter_N004_D028_C0560.MP4_link.csv,1.7364878568304172,0.0013189855313043952,0.017480411232997012,0.004134902582695159,1.8214942783721582,0.0008302719780316074,0.014485194817716445,0.00202357312061012,fronter,4
0,fronter_N004_D028_C0559.MP4_link.csv,1.7298865261284089,0.0013406438300772809,0.009133271347921666,0.0042027994270412055,1.803029551612374,0.0005313973888739278,0.007718670456712608,0.001295143638699151,fronter,4
0,fronter_N004_D028_C0558.MP4_link.csv,1.7880558725355504,0.0009516447631849609,0.01568213148829548,0.002983321877335135,1.8454808818115755,0.0004176781545616379,0.013700737266195473,0.0010179824302593164,fronter,4
0,fronter_N004_D028_C0557.MP4_link.csv,1.8112637397375537,0.0009713294919940081,0.019153006374839278,0.0030450317494822147,1.8630550273137718,0.0004442829118680269,0.017046275861381712,0.0010828246343182466,fronter,4
0,aligner_N004_D028_C0580.MP4_link.csv,1.2329554438055743,0.001734735052097299,0.003915908457356129,0.005438240435565236,1.3616004434712938,0.0012200914053018747,0.0028981613212611433,0.002973657110062697,aligner,4
0,aligner_N004_D028_C0579.MP4_link.csv,1.815892224472622,0.0005108680556750195,0.008665106012276226,0.0016015260147210267,1.8229065389942753,0.0003937238134157874,0.008431993791625446,0.0009595999209675232,aligner,4
0,aligner_N004_D028_C0578.MP4_link.csv,1.614040012078158,0.0010207793986311633,0.0033924954412621285,0.0032000528221578545,1.6661629065494732,0.0010681246122793329,0.0029542949666941823,0.002603277369196557,aligner,4
0,aligner_N004_D028_C0577.MP4_link.csv,1.6943039804963747,0.001176757722838097,0.010407478126083943,0.003689031024676557,1.7509654701664101,0.0010794063921717896,0.009252875868072588,0.0026307738078127406,aligner,4
0,aligner_N004_D028_C0576.MP4_link.csv,1.5014930012706198,0.0017539176712768833,0.013133388404018368,0.005498376271463714,1.6026028049484518,0.0005042459891256529,0.010373103563919706,0.0012289691296318444,aligner,4
0,fronter_N008_D028_C0567.MP4_link.csv,1.5896234974059256,0.0009009245116384092,0.00886391987137025,0.002824318390658051,1.6462393509436315,0.00142944609939229,0.007870982826435462,0.0034839049993602377,fronter,8
0,fronter_N008_D028_C0566.MP4_link.csv,1.4610133610570422,0.0021212590568209107,0.006916069178656639,0.00664995889005405,1.5719122557528202,0.0007781159152383672,0.005387409688771955,0.0018964562201534902,fronter,8
0,fronter_N008_D028_C0565.MP4_link.csv,1.7800970384711075,0.0013197234857108154,0.0078019419491580574,0.0041372160230216835,1.8547334862944798,0.00040767646616390445,0.006554192852750375,0.0009936059012749978,fronter,8
0,fronter_N008_D028_C0563.MP4_link.csv,1.7423296013235978,0.0018075532336442536,0.02026803280338308,0.005666518966568944,1.8296115828808956,0.0009038970918103511,0.016812438301213824,0.0022030152710969804,fronter,8
0,fronter_N008_D028_C0562.MP4_link.csv,1.7587468831018327,0.0013832012617479269,0.022831802669991144,0.0043362131884064166,1.81863730553908,0.0009442049562784584,0.020176065309900636,0.0023012552789595897,fronter,8
0,aligner_N008_D028_C0587.MP4_link.csv,1.7594571917091029,0.0008798191640275593,0.008049451987728874,0.0027581550014732807,1.750461518379425,0.0005733570074352778,0.0080852193471384,0.0013974093486284402,aligner,8
0,aligner_N008_D028_C0586.MP4_link.csv,1.3450948731147283,0.004243367022048192,0.013469584179093401,0.013302579133081397,1.5470867894997713,0.00204173870653748,0.008728054668404563,0.004976209791277371,aligner,8
0,aligner_N008_D028_C0585.MP4_link.csv,1.318267344138609,0.0018952944766879834,0.006747182569022601,0.005941579956601355,1.435706409841022,0.0016357239375646782,0.005214499209572917,0.003986653834555474,aligner,8
0,aligner_N008_D028_C0584.MP4_link.csv,1.4870716125515386,0.003385289074278839,0.024908812094613677,0.010612580850563899,1.4831918556746455,0.004101502956039146,0.023307275165656734,0.009996352280989265,aligner,8
0,aligner_N008_D028_C0583.MP4_link.csv,1.6781883195721807,0.0009075828869530234,0.007606403638310459,0.002845191809564716,1.7131665046522497,0.0005693130663017748,0.006895880644040062,0.001387553286891028,aligner,8
0,updated_test_aligner_N008_D028_C0581.MP4_link.csv,1.5476783795763058,0.0009248255742857227,0.018967352224025718,0.002899246094059722,1.6020536011213922,0.0005123182489743048,0.016768222683070256,0.001248643163656065,aligner,8
0,fronter_N016_D028_C0571.MP4_link.csv,1.7713975122191512,0.0010617714223611194,0.04430919074101884,0.0033285591731742506,1.8214873792950497,0.0007614620042332266,0.03991167829938227,0.0018558666060272061,fronter,16
0,fronter_N016_D028_C0570.MP4_link.csv,1.8492174598923057,0.0010941580560063,0.03962578040127969,0.0034300883945865613,1.8982904815078177,0.0005409254907211727,0.03566219132510286,0.0013183659283984395,fronter,16
