,x_fronters [Bot No. in arena],y_fronters_k_steady_state,fronter_error,x_aligners[Bot No. in arena],y_aligners_k_steady_state,aligner error
0,1,0.2094832,0.07094910803889308,1,0.15403,0.07418517068905357
1,4,1.0549224000000001,0.23895889940114856,4,0.38016767999999995,0.10854729426412141
2,8,1.34160544,0.1857958840487161,8,0.7426485333333334,0.17004462936628756
3,16,1.7974284,0.3062253322876649,16,1.1363576,0.25320754995779343
4,21,2.6514008000000002,0.4277980286678593,21,1.6380839999999999,0.3021803638123793
5,53,4.0153252,0.4416139184860359,53,2.0922935999999996,0.3088506952394895
