diameter,fronter_data,fronter_err,aligner_data,aligner_err
7,0.1320721274935263,0.005690148616083449,0.11829769301054327,0.06679185574562511
12,0.2018878654618356,0.08652811152119186,0.13382121152036588,0.05040019441025792
18,0.1678265396341391,0.04605577614771819,0.06106280903099884,0.0241201812621932
28,0.1251373741448919,0.05922308753006234,0.05072025639888762,0.013600503051435292
32,0.15593718813856305,0.006626064759454748,0.06380311566618038,0.012105442311585127
