,diameters,fronter,aligner
0,7,0.13169873015873015,0.11277642263375809
1,12,0.1856087960533222,0.13328761904761904
2,18,0.1662952380952381,0.06076
3,28,0.12495386243386246,0.05031873015873015
4,32,0.15608783068783072,0.0640904761904762
