,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,diameter
0,aligner_N021_D007_C0548.MP4_link.csv,1.113319393094269,0.003102623027461014,0.3356186169787617,0.0097264479089061,1.1394623809049158,0.004425827740869169,0.33567740108862065,0.010786809984746858,aligner,7
0,aligner_N021_D007_C0547.MP4_link.csv,1.1600080902730596,0.002530374496046254,0.1738092979194458,0.00793249946773539,1.178304210325978,0.0035430379045778004,0.17612495531999256,0.00863523812504585,aligner,7
0,aligner_N021_D007_C0544.MP4_link.csv,1.1959194212570536,0.002510237121877831,0.10641177268036242,0.00786937064343408,1.2657958887146086,0.0032653938388727925,0.09501068586489932,0.007958552586506119,aligner,7
0,aligner_N021_D007_C0542.MP4_link.csv,1.3050035015146046,0.0024528984850513123,0.23082696317284987,0.007689619116714039,1.3285801249193931,0.004341088024692831,0.2306142405231897,0.01058027884271884,aligner,7
0,fronter_N021_D007_C0541.MP4_link.csv,1.28723556687458,0.0032125495954760633,0.24836541300321233,0.010071057881694701,1.3734203644421057,0.0028066544234878737,0.21388497773018003,0.006840493895417058,fronter,7
0,fronter_N021_D007_C0540.MP4_link.csv,1.1469520944758136,0.005769504949875717,0.3796654078804152,0.018086886305108206,1.3690523847596223,0.00401688691496869,0.24642211939068578,0.009790122535395405,fronter,7
0,fronter_N021_D007_C0539.MP4_link.csv,1.2231378042184144,0.003382799001451175,0.48177330782276473,0.0106047747121592,1.3347804800614445,0.0016966179929915222,0.3904050018349618,0.004135067397394379,fronter,7
0,fronter_N021_D007_C0538.MP4_link.csv,1.1801480939612492,0.0027592412114849263,0.15636171641835708,0.008649976281229045,1.2496472993096932,0.0019194501390636814,0.13882467371662385,0.004678163084786787,fronter,7
0,fronter_N021_D012_C0537.MP4_link.csv,1.4059371377511243,0.005891316919020415,0.19051900698387084,0.018468755781959396,1.633988334932697,0.00322830286026747,0.11984846762589593,0.00786815291550386,fronter,12
0,fronter_N021_D012_C0536.MP4_link.csv,1.5512389985546269,0.004537196060721153,0.26642524881003227,0.014223707132636543,1.7582776276079477,0.0020466416463543347,0.17082576392600937,0.004988159415973921,fronter,12
0,fronter_N021_D012_C0535.MP4_link.csv,1.4550987711751913,0.0037308955117570197,0.19046711836024943,0.011696026285242713,1.583474815194382,0.003171139030534892,0.14882925343757064,0.007728830899027486,fronter,12
0,fronter_N021_D012_C0534.MP4_link.csv,1.7520445238120192,0.0016180274856781483,0.2751177411828729,0.005072372658889639,1.8101308649910035,0.001294046474041972,0.2462635210111378,0.0031539034550216384,fronter,12
0,fronter_N021_D012_C0533.MP4_link.csv,1.3342696036811375,0.005979402081966267,0.4553478223242827,0.018744895018826833,1.5966239271546283,0.003450659799338666,0.2654985124078377,0.008410090447248601,fronter,12
0,aligner_N021_D012_C0532.MP4_link.csv,1.2787288796930443,0.0008932592210687429,0.057481008585881496,0.0028002883585023976,1.2944597294798368,0.0011092658739664217,0.05639049730450119,0.0027035485695719092,aligner,12
0,aligner_N021_D012_C0531.MP4_link.csv,1.373499484672359,0.0061731166492034854,0.09172555447301689,0.01935217291827611,1.6442551141589594,0.002653100342120079,0.05209249194628596,0.00646624562866891,aligner,12
0,updated_test_aligner_N021_D012_C0530.MP4_link.csv,1.1769313883835961,0.00572590684281359,0.2365658415083764,0.017950209713161,1.4187603182145643,0.0025384328514502824,0.14043052431654146,0.006186773288393182,aligner,12
0,aligner_N021_D012_C0529.MP4_link.csv,1.3352150289372555,0.003591578101211108,0.21793605029034274,0.01125927860637194,1.4514432099935513,0.0036622934913495453,0.17725680710137567,0.008925892809019299,aligner,12
0,updated_test_aligner_N021_D018_C0527.MP4_link.csv,1.4482733179691492,0.002465004393749903,0.028636363058573318,0.007727569997256465,1.5448504789696709,0.0027262287198853616,0.023914028184622075,0.006644477116585886,aligner,18
0,aligner_N021_D018_C0526.MP4_link.csv,1.3803451710380987,0.002053490660899319,0.024932730368337378,0.006437510968355376,1.4565341278135535,0.0024185616222266045,0.02165306617773191,0.005894618163563523,aligner,18
0,aligner_N021_D018_C0525.MP4_link.csv,1.214097355392699,0.002052190314356647,0.02346432239664903,0.006433434472498165,1.3456636204499426,0.0013283586093789065,0.017417917949620124,0.0032375304091654313,aligner,18
0,aligner_N021_D018_C0523.MP4_link.csv,1.2327856786493903,0.004498797126882576,0.034942668350835426,0.014103329637322637,1.3992077451685134,0.003751692482552889,0.025225546135069242,0.009143779691856467,aligner,18
0,fronter_N021_D018_C0521.MP4_link.csv,1.706588781372235,0.0010263779390135056,0.11556134947699073,0.0032176037186691874,1.7285871340813328,0.0017911195662400426,0.11233382953740753,0.004365390501954333,fronter,18
0,fronter_N021_D018_C0519.MP4_link.csv,1.6977329554879383,0.0023998032038351257,0.1709884636623251,0.007523170007934751,1.7871074045116373,0.0013544251088150763,0.14282238136544337,0.003301060779485895,fronter,18
0,fronter_N021_D018_C0514.MP4_link.csv,1.4926260248888354,0.003577780189911772,0.05791024548824051,0.011216023425360934,1.6331790518063294,0.0035032133367019808,0.04409894868750607,0.008538176117030252,fronter,18
0,fronter_N021_D018_C0516.MP4_link.csv,1.6140052239163278,0.002767814054914255,0.050996902081493885,0.008676851442792087,1.7251793066891334,0.0017532244287867004,0.0406526140485189,0.004273030876981233,fronter,18
0,fronter_N021_D018_C0517.MP4_link.csv,1.5453926197062708,0.0040348365235544454,0.08134532889233012,0.012648854438219313,1.7096051784481776,0.002311400978867589,0.058128435394519534,0.005633441802808915,fronter,18
0,fronter_N021_D028_C0490.MP4_link.csv,1.6617427646114382,0.002527831798817797,0.10231019733588968,0.007924528316787936,1.7638093736831704,0.0019848992545230897,0.08383987724084824,0.004837678341991215,fronter,28
