,t,fronters_count,fit
0,1.96,,13.807740940097169
1,2.0,,13.806527521105647
2,2.04,,13.805289720499037
3,2.08,,13.80402754617656
4,2.12,,13.802741006192406
5,2.16,,13.801430108755639
6,2.2,,13.800094862230111
7,2.24,,13.79873527513437
8,2.28,,13.797351356141572
9,2.32,,13.795943114079389
10,2.36,,13.794510557929915
11,2.4,,13.793053696829567
12,2.44,,13.791572540068994
13,2.48,,13.79006709709298
14,2.52,,13.788537377500333
15,2.56,,13.786983391043787
16,2.6,,13.785405147629902
17,2.64,,13.783802657318962
18,2.68,,13.782175930324861
19,2.72,,13.780524977014991
20,2.76,,13.778849807910142
21,2.8,,13.77715043368439
22,2.84,,13.77542686516497
23,2.88,,13.773679113332179
24,2.92,,13.771907189319244
25,2.96,,13.770111104412216
26,3.0,,13.768290870049846
27,3.04,,13.766446497823456
28,3.08,,13.764577999476824
29,3.12,,13.762685386906064
30,3.16,,13.76076867215949
31,3.2,,13.758827867437486
32,3.24,,13.75686298509239
33,3.28,,13.754874037628351
34,3.32,,13.752861037701209
35,3.36,,13.750823998118339
36,3.4,,13.748762931838538
37,3.44,,13.746677851971874
38,3.48,,13.744568771779559
39,3.52,,13.742435704673788
40,3.56,,13.74027866421762
41,3.6,,13.738097664124815
42,3.64,,13.735892718259713
43,3.68,,13.733663840637053
44,3.72,,13.731411045421854
45,3.76,,13.72913434692925
46,3.8,,13.726833759624348
47,3.84,,13.724509298122062
48,3.88,,13.72216097718697
49,3.92,21.0,13.719788811733153
50,3.96,21.0,13.717392816824038
51,4.0,21.0,13.714973007672235
52,4.04,21.0,13.712529399639383
53,4.08,21.0,13.71006200823598
54,4.12,21.0,13.707570849121225
55,4.16,21.0,13.705055938102849
56,4.2,21.0,13.70251729113695
57,4.24,21.0,13.699954924327816
58,4.28,21.0,13.697368853927774
59,4.32,21.0,13.694759096336991
60,4.36,21.0,13.692125668103333
61,4.4,21.0,13.689468585922157
62,4.44,21.0,13.686787866636156
63,4.48,21.0,13.684083527235181
64,4.52,21.0,13.681355584856043
65,4.56,21.0,13.678604056782362
66,4.6,21.0,13.675828960444349
67,4.64,20.995,13.67303031341865
68,4.68,20.995,13.670208133428158
69,4.72,20.995,13.6673624383418
70,4.76,20.995,13.664493246174388
71,4.8,20.995,13.66160057508639
72,4.84,20.99,13.65868444338377
73,4.88,20.99,13.655744869517775
74,4.92,20.99,13.652781872084748
75,4.96,20.985,13.649795469825929
76,5.0,20.975,13.646785681627264
77,5.04,20.97,13.643752526519197
78,5.08,20.96,13.640696023676476
79,5.12,20.955,13.637616192417948
80,5.16,20.945,13.634513052206355
81,5.2,20.93,13.631386622648133
82,5.24,20.925,13.628236923493205
83,5.28,20.915,13.62506397463476
84,5.32,20.91,13.621867796109065
85,5.36,20.9,13.618648408095243
86,5.4,20.885,13.615405830915051
87,5.44,20.88,13.612140085032696
88,5.48,20.875,13.608851191054576
89,5.52,20.87,13.605539169729106
90,5.56,20.86,13.602204041946475
91,5.6,20.855,13.59884582873843
92,5.64,20.845,13.595464551278067
93,5.68,20.835,13.59206023087959
94,5.72,20.825,13.588632888998099
95,5.76,20.81,13.585182547229362
96,5.8,20.805,13.581709227309595
97,5.84,20.795,13.578212951115216
98,5.88,20.785,13.574693740662632
99,5.92,20.77,13.571151618108004
100,5.96,20.75,13.56758660574701
101,6.0,20.735,13.563998726014617
102,6.04,20.725,13.560388001484842
103,6.08,20.71,13.556754454870514
104,6.12,20.7,13.553098109023036
105,6.16,20.69,13.549418986932157
106,6.2,20.68,13.545717111725715
107,6.24,20.67,13.541992506669398
108,6.28,20.655,13.53824519516651
109,6.32,20.645,13.534475200757718
110,6.36,20.63,13.530682547120804
111,6.4,20.62,13.526867258070428
112,6.44,20.61,13.523029357557864
113,6.48,20.59,13.519168869670757
114,6.52,20.575,13.515285818632872
115,6.56,20.565,13.511380228803844
116,6.6,20.555,13.50745212467891
117,6.64,20.55,13.503501530888666
118,6.68,20.53,13.499528472198815
119,6.72,20.515,13.495532973509881
120,6.76,20.495,13.491515059856976
121,6.8,20.48,13.48747475640953
122,6.84,20.47,13.483412088471024
123,6.88,20.455,13.479327081478733
124,6.92,20.44,13.475219761003455
125,6.96,20.425,13.471090152749245
126,7.0,20.415,13.466938282553151
127,7.04,20.4,13.462764176384937
128,7.08,20.385,13.458567860346825
129,7.12,20.355,13.454349360673213
130,7.16,20.335,13.450108703730393
131,7.2,20.315,13.445845916016303
132,7.24,20.28,13.441561024160226
133,7.28,20.24,13.437254054922526
134,7.32,20.2,13.432925035194366
135,7.36,20.17,13.428573991997418
136,7.4,20.14,13.42420095248361
137,7.44,20.095,13.419805943934808
138,7.48,20.05,13.415388993762566
139,7.52,20.005,13.410950129507807
140,7.56,19.96,13.406489378840575
141,7.6,19.92,13.402006769559712
142,7.64,19.875,13.397502329592587
143,7.68,19.835,13.392976086994814
144,7.72,19.795,13.388428069949942
145,7.76,19.75,13.383858306769174
146,7.8,19.7,13.379266825891065
147,7.84,19.65,13.37465365588125
148,7.88,19.6,13.370018825432108
149,7.92,19.545,13.365362363362504
150,7.96,19.5,13.360684298617468
151,8.0,19.455,13.3559846602679
152,8.04,19.4,13.351263477510276
153,8.08,19.34,13.346520779666335
154,8.12,19.275,13.34175659618278
155,8.16,19.21,13.336970956630974
156,8.2,19.15,13.332163890706642
157,8.24,19.085,13.327335428229542
158,8.28,19.03,13.322485599143185
159,8.32,18.965,13.3176144335145
160,8.36,18.895,13.312721961533544
161,8.4,18.83,13.30780821351318
162,8.44,18.755,13.30287321988876
163,8.48,18.685,13.29791701121782
164,8.52,18.615,13.292939618179759
165,8.56,18.54,13.287941071575528
