,Unnamed: 0,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,analysis stage,frames,pixelSize [cm/pixel],pixelSize_unbined [cm/pixel],arenaSize[cm],turnOnTime [s],comments,backedup,130,production,linkingFileName,botLocatingFileName,botLinkingFileName
0,0,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:12,20:18,,,0.1376146789,,150.0,,1low bot-replaced,,,,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0548.MP4botLocatedFull20230315.csv_linked.csv
1,1,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:12,20:21,,,0.1376146789,,150.0,,1low bot-replaced,,,,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0547.MP4botLocatedFull20230315.csv_linked.csv
2,2,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:07,20:21,,,0.1376146789,,150.0,,1 spinning bot-replaced,,,,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0544.MP4botLocatedFull20230315.csv_linked.csv
3,3,20221229,Eden,aligner,,21,7,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:12,20:18,,,0.1376146789,,150.0,,1 spinnig bot plastic replaced,,,,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\aligners_21_7cm\C0542.MP4botLocatedFull20230315.csv_linked.csv
4,4,20221229,Eden,fronter,,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:13,20:21,,,0.1376146789,,150.0,,,,,,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0541.MP4botLocatedFull20230315.csv_linked.csv
5,5,20221229,Eden,fronter,,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:13,20:01,,,0.1376146789,,150.0,,,,,,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0540.MP4botLocatedFull20230315.csv_linked.csv
6,6,20221229,Eden,fronter,2.0,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:34,5:27,,,0.1376146789,,150.0,,"low start error, 1 spinnig bot-replaced",,,,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0539.MP4botLocatedFull20230315.csv_linked.csv
7,7,20221229,Eden,fronter,3.0,21,7,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4_locatedFull20230223a_test_eden.csv,22,28,25,,0:34,20:42,,,0.1376146789,,150.0,,3 low battery bots-replaceds,,,,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4botLocatedFull20230315.csv,D:\Eden\29_12_22\frontes_21_7cm\C0538.MP4botLocatedFull20230315.csv_linked.csv
8,8,20221227,Eden,fronter,2.0,21,12,D:\Eden\27_12_22\fronters-12cm\C0537.MP4,D:\Eden\27_12_22\fronters-12cm\C0537.MP4_locatedFull20230309_matan.csv,41,48,25,,0:51,20:57,,,0.1376146789,,150.0,,2low battery-replaced,,,,D:\Eden\27_12_22\fronters-12cm\C0537.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0537.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0537.MP4botLocatedFull20230315.csv_linked.csv
9,9,20221227,Eden,fronter,1.0,21,12,D:\Eden\27_12_22\fronters-12cm\C0536.MP4,D:\Eden\27_12_22\fronters-12cm\C0536.MP4_locatedFull20230223a_test_eden.csv,41,48,25,,0:13,20:29,,,0.1376146789,,150.0,,,,,,D:\Eden\27_12_22\fronters-12cm\C0536.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0536.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0536.MP4botLocatedFull20230315.csv_linked.csv
10,10,20221227,Eden,fronter,3.0,21,12,D:\Eden\27_12_22\fronters-12cm\C0535.MP4,D:\Eden\27_12_22\fronters-12cm\C0535.MP4_locatedFull20230309_matan.csv,20,31,25,,0:16,18:48,,,0.1376146789,,150.0,,"4 botlow battery - replaced,red lights",,,,D:\Eden\27_12_22\fronters-12cm\C0535.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0535.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0535.MP4botLocatedFull20230315.csv_linked.csv
11,11,20221227,Eden,fronter,1.0,21,12,D:\Eden\27_12_22\fronters-12cm\C0534.MP4,D:\Eden\27_12_22\fronters-12cm\C0534.MP4_locatedFull20230309_matan.csv,18,32,25,,0:15,3:30,,,0.1376146789,,150.0,,,,,,D:\Eden\27_12_22\fronters-12cm\C0534.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0534.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0534.MP4botLocatedFull20230315.csv_linked.csv
12,12,20221227,Eden,fronter,3.0,21,12,D:\Eden\27_12_22\fronters-12cm\C0533.MP4,D:\Eden\27_12_22\fronters-12cm\C0533.MP4_locatedFull20230223a_test_eden.csv,41,48,25,,0:12,20:20,,,0.1376146789,,150.0,,red lights,,,,D:\Eden\27_12_22\fronters-12cm\C0533.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\27_12_22\fronters-12cm\C0533.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\fronters-12cm\C0533.MP4botLocatedFull20230315.csv_linked.csv
13,13,20221227,Eden,aligner,,21,12,D:\Eden\27_12_22\aligners-12cm\C0532.MP4,D:\Eden\27_12_22\aligners-12cm\C0532.MP4_locatedFull20230309_matan.csv,23,33,25,,0:21,17:51,,,0.1376146789,,150.0,,"change_plastic,2 spinnig bot- replaced",,,,D:\Eden\27_12_22\aligners-12cm\C0532.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\aligners-12cm\C0532.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\aligners-12cm\C0532.MP4botLocatedFull20230315.csv_linked.csv
14,14,20221227,Eden,aligner,,21,12,D:\Eden\27_12_22\aligners-12cm\C0531.MP4,D:\Eden\27_12_22\aligners-12cm\C0531.MP4_locatedFull20230309_matan.csv,23,33,25,,0:19,22:57,,,0.1376146789,,150.0,,1 low battery -replaced,,,,D:\Eden\27_12_22\aligners-12cm\C0531.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\27_12_22\aligners-12cm\C0531.MP4botLocatedFull20230315.csv,D:\Eden\27_12_22\aligners-12cm\C0531.MP4botLocatedFull20230315.csv_linked.csv
15,15,20221222,Eden,aligner,1.0,21,12,D:\Eden\22_12_22_blend\alingners-12cm\C0530.MP4,D:\Eden\22_12_22_blend\alingners-12cm\C0530.MP4_locatedFull20230223a_test_eden.csv,41,48,25,,0:12,20:30,,,0.1376146789,,150.0,,,,,,D:\Eden\22_12_22_blend\alingners-12cm\C0530.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\alingners-12cm\C0530.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingners-12cm\C0530.MP4botLocatedFull20230315.csv_linked.csv
16,16,20221222,Eden,aligner,1.0,21,12,D:\Eden\22_12_22_blend\alingners-12cm\C0529.MP4,D:\Eden\22_12_22_blend\alingners-12cm\C0529.MP4_locatedFull20230309_matan.csv,23,33,25,,0:08,20:00,,,0.1376146789,,150.0,,,,,,D:\Eden\22_12_22_blend\alingners-12cm\C0529.MP4_locatedFull20230309_matan.csv_linked.csv,D:\Eden\22_12_22_blend\alingners-12cm\C0529.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingners-12cm\C0529.MP4botLocatedFull20230315.csv_linked.csv
17,17,20221222,Eden,aligner,1.0,21,18,D:\Eden\22_12_22_blend\alingers-18cm\C0527.MP4,D:\Eden\22_12_22_blend\alingers-18cm\C0527.MP4_locatedFull20230223a_test_eden.csv,63,70,25,,0:59,20:00,,,0.1376146789,,150.0,,1low battery - replaced,,,,D:\Eden\22_12_22_blend\alingers-18cm\C0527.MP4_locatedFull20230223a_test_eden.csv_linked.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0527.MP4botLocatedFull20230315.csv,D:\Eden\22_12_22_blend\alingers-18cm\C0527.MP4botLocatedFull20230315.csv_linked.csv
