,frame,distance_sq
290,169.0,15538.0
291,170.0,15749.0
292,171.0,15725.0
293,171.0,5330.0
294,172.0,15725.0
295,173.0,15353.0
296,174.0,15005.0
297,175.0,15914.0
298,175.0,5465.0
299,175.0,380250.0
300,176.0,15025.0
301,177.0,15188.0
302,177.0,380341.0
303,178.0,15749.0
304,179.0,15616.0
305,180.0,15749.0
306,180.0,337210.0
307,181.0,15025.0
308,182.0,15940.0
309,183.0,14864.0
310,184.0,15940.0
311,184.0,338080.0
312,185.0,14890.0
313,186.0,15616.0
314,187.0,15940.0
315,188.0,15425.0
316,189.0,15940.0
317,189.0,319085.0
318,189.0,379025.0
319,190.0,15809.0
320,190.0,385634.0
321,190.0,303220.0
322,191.0,15809.0
323,191.0,326745.0
324,191.0,295201.0
325,192.0,15940.0
326,193.0,15809.0
327,194.0,15809.0
328,194.0,385960.0
329,194.0,381384.0
330,195.0,15940.0
331,196.0,15397.0
332,196.0,5402.0
333,197.0,15809.0
334,198.0,15777.0
335,198.0,5353.0
336,199.0,15049.0
337,200.0,15809.0
338,201.0,15266.0
339,201.0,5545.0
340,202.0,16004.0
341,203.0,15845.0
342,203.0,385960.0
343,204.0,14920.0
344,205.0,336026.0
345,205.0,15809.0
346,206.0,15650.0
347,207.0,15885.0
348,207.0,5545.0
349,208.0,16004.0
350,209.0,15885.0
351,209.0,383090.0
352,210.0,15493.0
353,211.0,16084.0
354,211.0,5684.0
355,212.0,15730.0
356,212.0,335620.0
357,213.0,15730.0
358,213.0,316409.0
359,214.0,15885.0
360,214.0,380341.0
361,215.0,15688.0
362,216.0,16042.0
363,217.0,15885.0
364,217.0,329706.0
365,218.0,15885.0
366,218.0,319573.0
367,219.0,14992.0
368,219.0,5490.0
369,220.0,15885.0
370,220.0,341001.0
371,220.0,381002.0
372,221.0,15730.0
373,221.0,5490.0
374,222.0,15929.0
375,223.0,15929.0
376,224.0,15034.0
377,225.0,15776.0
378,226.0,15776.0
379,226.0,319085.0
380,227.0,384957.0
381,227.0,15977.0
382,227.0,381665.0
383,228.0,14738.0
384,228.0,299941.0
385,229.0,14593.0
386,230.0,15277.0
387,231.0,14985.0
388,232.0,14933.0
389,232.0,5458.0
390,233.0,15826.0
391,234.0,16029.0
392,234.0,328136.0
393,234.0,386425.0
394,235.0,15880.0
395,235.0,340402.0
396,236.0,15880.0
397,237.0,16029.0
398,237.0,5485.0
399,238.0,15476.0
400,238.0,381665.0
401,239.0,384957.0
402,239.0,15733.0
403,240.0,15733.0
404,241.0,15329.0
405,242.0,15880.0
406,243.0,15938.0
407,244.0,15733.0
408,245.0,15733.0
409,246.0,14985.0
410,247.0,14985.0
411,248.0,15826.0
412,249.0,15530.0
413,249.0,338804.0
414,250.0,15677.0
415,251.0,16145.0
416,252.0,15733.0
417,252.0,334440.0
418,253.0,15041.0
419,254.0,15733.0
420,254.0,340420.0
421,255.0,15880.0
422,255.0,382957.0
423,256.0,15938.0
424,257.0,15880.0
425,257.0,333973.0
426,258.0,382957.0
427,258.0,16085.0
428,259.0,14701.0
429,259.0,383956.0
430,260.0,15588.0
431,260.0,344016.0
432,261.0,15880.0
433,262.0,14900.0
434,262.0,389569.0
435,262.0,333041.0
436,263.0,14842.0
437,264.0,15880.0
438,264.0,335264.0
439,265.0,330116.0
440,265.0,15184.0
441,266.0,14701.0
442,266.0,382225.0
443,266.0,334440.0
444,267.0,15677.0
445,268.0,15130.0
446,268.0,340601.0
447,268.0,383956.0
448,269.0,383956.0
449,269.0,317700.0
450,269.0,15588.0
451,270.0,15793.0
452,271.0,15650.0
453,272.0,337298.0
454,272.0,15588.0
455,272.0,379961.0
456,273.0,15793.0
457,273.0,384689.0
458,274.0,14562.0
459,275.0,15650.0
460,276.0,330116.0
461,276.0,298745.0
462,276.0,15857.0
463,277.0,15588.0
464,278.0,15650.0
465,279.0,15101.0
466,279.0,329101.0
467,279.0,379585.0
468,280.0,15925.0
469,280.0,327485.0
470,280.0,344353.0
471,281.0,15588.0
472,281.0,380234.0
473,282.0,15716.0
474,283.0,15509.0
475,284.0,15041.0
476,285.0,15716.0
477,285.0,313245.0
478,286.0,15716.0
479,286.0,334916.0
480,287.0,15509.0
481,287.0,335029.0
482,287.0,339401.0
483,288.0,15509.0
484,288.0,381229.0
485,289.0,14690.0
486,289.0,5490.0
487,290.0,15101.0
488,291.0,15925.0
489,292.0,15440.0
490,293.0,15860.0
491,294.0,15028.0
492,295.0,15514.0
493,295.0,329125.0
494,295.0,335029.0
495,296.0,15997.0
496,297.0,15997.0
497,297.0,381533.0
498,298.0,15997.0
499,298.0,319149.0
500,299.0,15805.0
501,299.0,5968.0
502,299.0,342472.0
503,300.0,15786.0
504,301.0,15233.0
505,302.0,15649.0
506,303.0,14965.0
