,frame,distance_sq
0,1.0,465170.0
1,1.0,14162.0
2,1.0,443405.0
3,1.0,5729.0
4,2.0,13690.0
5,2.0,463424.0
6,3.0,465170.0
7,3.0,14162.0
8,4.0,462610.0
9,4.0,13690.0
10,5.0,463889.0
11,5.0,13925.0
12,6.0,464242.0
13,6.0,14425.0
14,7.0,14162.0
15,7.0,466810.0
16,8.0,14409.0
17,8.0,465170.0
18,8.0,459476.0
19,9.0,464356.0
20,9.0,13925.0
21,9.0,440290.0
22,10.0,464356.0
23,10.0,13925.0
24,10.0,462610.0
25,11.0,14170.0
26,11.0,465525.0
27,12.0,463889.0
28,12.0,13928.0
29,12.0,435145.0
30,13.0,14170.0
31,13.0,465525.0
32,13.0,388229.0
33,14.0,14409.0
34,14.0,466810.0
35,14.0,459693.0
36,15.0,13933.0
37,15.0,462610.0
38,15.0,460916.0
39,16.0,463424.0
40,16.0,13928.0
41,16.0,458957.0
42,17.0,13933.0
43,17.0,464242.0
44,17.0,440372.0
45,18.0,13933.0
46,18.0,464242.0
47,18.0,462901.0
48,19.0,462610.0
49,19.0,13690.0
50,19.0,262441.0
51,19.0,434261.0
52,19.0,281210.0
53,20.0,14162.0
54,20.0,466810.0
55,21.0,462610.0
56,21.0,13690.0
57,22.0,464356.0
58,22.0,13924.0
59,22.0,442034.0
60,23.0,465170.0
61,23.0,14162.0
62,23.0,436410.0
63,24.0,14177.0
64,24.0,463424.0
65,24.0,441641.0
66,24.0,5917.0
67,25.0,14170.0
68,25.0,463889.0
69,26.0,463889.0
70,26.0,13928.0
71,27.0,14170.0
72,27.0,463889.0
73,27.0,465908.0
74,28.0,14170.0
75,28.0,463889.0
76,28.0,435524.0
77,29.0,13924.0
78,29.0,465637.0
79,29.0,458746.0
80,30.0,463889.0
81,30.0,13928.0
82,31.0,463889.0
83,31.0,14170.0
84,31.0,5770.0
85,32.0,14170.0
86,32.0,463889.0
87,32.0,280978.0
88,32.0,435145.0
89,33.0,13925.0
90,33.0,464705.0
91,33.0,465010.0
92,34.0,14170.0
93,34.0,463889.0
94,34.0,435145.0
95,35.0,463889.0
96,35.0,13925.0
97,35.0,258785.0
98,35.0,462217.0
99,36.0,13925.0
100,36.0,463889.0
101,37.0,14170.0
102,37.0,463889.0
103,37.0,462217.0
104,38.0,463889.0
105,38.0,13928.0
106,39.0,13925.0
107,39.0,464356.0
108,39.0,5770.0
109,39.0,435145.0
110,40.0,13925.0
111,40.0,464356.0
112,40.0,462610.0
113,41.0,463889.0
114,41.0,13925.0
115,41.0,258245.0
