,FileName,Bot_Type,bots No.,mean_Vx(per_1sec),mean_Vy(per_1sec),mean_Vr(per_1sec)
0,fronter_N001_D028_C0556.MP4_link.csv,fronter,1,-0.009534545454545455,0.047003636363636365,0.1842409237181968
1,fronter_N001_D028_C0555.MP4_link.csv,fronter,1,-0.1789430303030303,0.1041769696969697,0.7191881692317827
2,updated_test_fronter_N001_D028_C0554.MP4_link.csv,fronter,1,-0.06995878787878788,-0.05522666666666667,0.13448456918817536
3,updated_test_fronter_N001_D028_C0553.MP4_link.csv,fronter,1,0.008286060606060606,-0.002446060606060606,0.053998135258362695
4,aligner_N001_D028_C0575.MP4_link.csv,aligner,1,-0.04287515151515152,-0.14634424242424243,0.25234090701671147
5,aligner_N001_D028_C0574.MP4_link.csv,aligner,1,-0.13034909090909091,-0.16398060606060608,0.3005036308806431
6,aligner_N001_D028_C0573.MP4_link.csv,aligner,1,-0.25929939393939394,0.03773818181818182,0.39826399914651256
7,aligner_N001_D028_C0572.MP4_link.csv,aligner,1,0.003132121212121212,-0.0427830303030303,0.07338300614222508
8,fronter_N004_D028_C0560.MP4_link.csv,fronter,4,-0.029323636363636364,-0.09445333333333333,0.5529611670217948
9,fronter_N004_D028_C0559.MP4_link.csv,fronter,4,0.04360484848484848,-0.15509818181818183,0.392552850111214
10,fronter_N004_D028_C0558.MP4_link.csv,fronter,4,-0.03464727272727273,0.37762666666666667,1.0669158988842429
11,fronter_N004_D028_C0557.MP4_link.csv,fronter,4,-0.07736969696969696,0.39451636363636367,1.8042890517586894
12,aligner_N004_D028_C0580.MP4_link.csv,aligner,4,-0.01334060606060606,-0.07044848484848484,0.12412162440888454
13,aligner_N004_D028_C0579.MP4_link.csv,aligner,4,-0.28000484848484847,-0.25262545454545454,0.4495233876135734
14,aligner_N004_D028_C0578.MP4_link.csv,aligner,4,-0.0656509090909091,-0.09350787878787878,0.15111919779379052
15,aligner_N004_D028_C0577.MP4_link.csv,aligner,4,0.10288,-0.057435151515151515,0.194462969994997
16,aligner_N004_D028_C0576.MP4_link.csv,aligner,4,0.2871854545454546,0.07967515151515152,0.6081274123882511
17,fronter_N008_D028_C0567.MP4_link.csv,fronter,8,0.009471515151515151,-0.14901333333333333,0.3774737916590417
18,fronter_N008_D028_C0566.MP4_link.csv,fronter,8,0.10486060606060606,0.10874666666666667,0.43077880837383803
19,fronter_N008_D028_C0565.MP4_link.csv,fronter,8,0.1854448484848485,0.23698424242424243,1.0813303750399412
20,fronter_N008_D028_C0563.MP4_link.csv,fronter,8,-0.2599030303030303,0.264649696969697,1.5545302415783937
21,fronter_N008_D028_C0562.MP4_link.csv,fronter,8,-0.012392727272727272,0.27814060606060603,0.8276297487269901
22,aligner_N008_D028_C0587.MP4_link.csv,aligner,8,0.4429115151515151,0.4568460606060606,0.8078012860422211
23,aligner_N008_D028_C0586.MP4_link.csv,aligner,8,0.06310787878787878,-0.17329939393939395,0.2665301160439727
24,aligner_N008_D028_C0585.MP4_link.csv,aligner,8,-0.004632727272727273,-0.028807272727272727,0.31995349320432953
25,aligner_N008_D028_C0584.MP4_link.csv,aligner,8,0.669619393939394,0.10365333333333333,0.8043345305528916
26,aligner_N008_D028_C0583.MP4_link.csv,aligner,8,0.31917090909090906,-0.20322666666666667,0.6649505466715442
27,updated_test_aligner_N008_D028_C0581.MP4_link.csv,aligner,8,0.26289212121212124,0.19247515151515152,0.6772585514792698
28,fronter_N016_D028_C0571.MP4_link.csv,fronter,16,0.4385309090909091,-0.01824242424242424,2.1395775259059615
29,fronter_N016_D028_C0570.MP4_link.csv,fronter,16,-0.7971612121212122,-0.13303515151515152,1.5541012020104477
30,fronter_N016_D028_C0569.MP4_link.csv,fronter,16,-0.17199272727272727,0.29431999999999997,0.4119550903001518
31,fronter_N016_D028_C0568.MP4_link.csv,fronter,16,0.280969696969697,-0.18824969696969696,0.7510927064904802
32,aligner_N016_D028_C0591.MP4_link.csv,aligner,16,-0.4920339393939394,0.22861575757575758,0.915120637726061
33,aligner_N016_D028_C0590.MP4_link.csv,aligner,16,-0.045573333333333334,0.009893333333333334,0.6211092919780998
34,aligner_N016_D028_C0589.MP4_link.csv,aligner,16,0.12445575757575758,-0.3339054545454545,0.6800299248229893
35,aligner_N016_D028_C0588.MP4_link.csv,aligner,16,-0.11721212121212123,-0.2605430303030303,0.4578675737230896
36,aligner_N053_D028_C0510.MP4_link.csv,aligner,53,-0.1093430303030303,-0.4280606060606061,1.0556356799159643
37,aligner_N053_D028_C0511.MP4_link.csv,aligner,53,0.3751612121212121,-0.2060121212121212,0.7488812621580725
38,aligner_N053_D028_C0512.MP4_link.csv,aligner,53,-0.07140848484848485,-0.4685842424242424,0.7689649752023919
39,aligner_N053_D028_C0513.MP4_link.csv,aligner,53,-0.05869333333333333,-0.35650666666666664,0.4871744439761407
40,fronter_N053_D028_C0505.MP4_link.csv,fronter,53,3.201022222222222,3.552222222222222,4.872054817506646
41,fronter_N053_D028_C0506.MP4_link.csv,fronter,53,-0.22585674931129476,-1.6466391184573004,2.425667378254091
42,fronter_N053_D028_C0507.MP4_link.csv,fronter,53,-0.32311661506707945,-1.1199917440660476,1.882139649664301
43,fronter_N053_D028_C0509.MP4_link.csv,fronter,53,-0.33699878787878784,0.4109381818181818,1.3399300291890597
44,fronter_N021_D028_C0490.MP4_link.csv,fronter,21,1.0567290167865706,0.25799040767386094,2.008443797916275
45,fronter_N021_D028_C0491.MP4_link.csv,fronter,21,1.945103448275862,3.450528735632184,4.009649910775005
