,FileName,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err,Bot_Type,Bot_num
0,fronter_N001_D028_C0556.MP4_link.csv,1.507137202592739,0.0009994974263676448,0.0036045147342935882,0.004021506793778825,1.5636298424224826,0.0017515606942816557,0.003096908634002025,0.005855242995915913,fronter,1
0,fronter_N001_D028_C0555.MP4_link.csv,1.7174143372903707,0.002666187884336259,0.013282279832210914,0.010727484043828202,1.8691640138074115,0.0008612922688209626,0.008638503126842174,0.002879189753662249,fronter,1
0,fronter_N001_D028_C0554.MP4_link.csv,0.35094678156447223,0.002904148845096282,0.17317567905430065,0.011684926840153386,0.20259445288115321,0.000921576340434179,0.25598255896513544,0.0030807116575882606,fronter,1
0,fronter_N001_D028_C0553.MP4_link.csv,0.00787967544633843,0.00011759431266774746,1.2044317787089416,0.00047314411860575054,0.008259021979308357,0.0003751432829726696,1.2034525426768508,0.0012540559447786264,fronter,1
0,aligner_N001_D028_C0575.MP4_link.csv,1.170554565998478,0.0023707179705842775,0.00647913351108586,0.009538652314199713,1.2868707426403363,0.0030097457568697764,0.005010126369096944,0.010061194563773681,aligner,1
0,aligner_N001_D028_C0574.MP4_link.csv,1.3901239265475032,0.0019381363285389352,0.005327744404746747,0.007798147565521732,1.4400763196005264,0.0032075493859923007,0.005025989445579074,0.010722426711914054,aligner,1
0,aligner_N001_D028_C0573.MP4_link.csv,1.4296902070454496,0.0019587322905345894,0.014675439934438293,0.007881016081541403,1.4144127286776786,0.0027344528477769884,0.016969354754424022,0.009140925576433565,aligner,1
0,aligner_N001_D028_C0572.MP4_link.csv,0.775620186174604,0.002104058853963526,0.003954896618693154,0.008465741660839174,0.5462104738974289,0.001813669630789747,0.008281042286309884,0.006062865243754191,aligner,1
0,fronter_N004_D028_C0560.MP4_link.csv,1.7005704436006535,0.0007361536330087485,0.018289735777390525,0.0029619354450987913,1.7108620115562778,0.0012491802977278297,0.018354216926752993,0.004175849724099333,fronter,4
0,fronter_N004_D028_C0559.MP4_link.csv,1.5964739224982396,0.001725465558610134,0.013215146020279064,0.006942460517621677,1.6728175074435534,0.0016024008049335089,0.011059818828522435,0.005356620648523086,fronter,4
0,fronter_N004_D028_C0558.MP4_link.csv,1.6890555849506979,0.0013745874631236545,0.020698829881970242,0.005530692441326961,1.755307247867954,0.001076401796787981,0.017580407401116875,0.0035982733244338968,fronter,4
0,fronter_N004_D028_C0557.MP4_link.csv,1.6711032728508914,0.0018944183548876552,0.028633148379026217,0.007622246989809575,1.7563541365134514,0.0010741464598232047,0.023124030153935934,0.0035907340397537475,fronter,4
0,aligner_N004_D028_C0580.MP4_link.csv,1.1662001275331717,0.0009485380958829273,0.004983270082212385,0.0038164704795875114,1.1836662661467527,0.0015298922934741106,0.004920906364398709,0.005114233980621839,aligner,4
0,aligner_N004_D028_C0579.MP4_link.csv,1.6829091637409284,0.001727176407979913,0.013361814886818354,0.00694934418624047,1.7751355251779224,0.00018128859273588844,0.01025956320765287,0.0006060245455303442,aligner,4
0,aligner_N004_D028_C0578.MP4_link.csv,1.573382404254767,0.0009008684713151512,0.004075480604504524,0.003624670342891739,1.6305411062927557,0.0013905158793520184,0.003501673678956145,0.004648316439210069,aligner,4
0,aligner_N004_D028_C0577.MP4_link.csv,1.5409439278395483,0.002143331395327205,0.016099821464637256,0.008623755836281373,1.6311429789232124,0.0007796362185867978,0.012871703872952929,0.0026062239936097326,aligner,4
0,aligner_N004_D028_C0576.MP4_link.csv,1.3197453513771435,0.002561180519313162,0.022496325279701027,0.010304983810206357,1.4331631646029321,0.0024205419295652113,0.017219940002333282,0.008091561578360657,aligner,4
0,fronter_N008_D028_C0567.MP4_link.csv,1.5336238359316061,0.000987092363577962,0.010337091651517083,0.003971594653322659,1.5472127342875392,0.0004890139493416029,0.010148773160404745,0.0016347110052533226,fronter,8
0,fronter_N008_D028_C0566.MP4_link.csv,1.2740636789646524,0.0021793033406517903,0.011694515970805605,0.008768489962497853,1.351171480790417,0.002449011344903668,0.010100971930238007,0.00818673118326229,fronter,8
0,fronter_N008_D028_C0565.MP4_link.csv,1.572304699029616,0.0030272782125416323,0.01417054936829278,0.012180341347916823,1.7381664978681208,0.0014972619358230097,0.009071646055834819,0.005005154856552633,fronter,8
0,fronter_N008_D028_C0563.MP4_link.csv,1.5433864391721124,0.0027919509805166384,0.03546596238009749,0.011233495563260316,1.6537882383834765,0.0017149649335260924,0.02723145436739661,0.0057329081125649375,fronter,8
0,fronter_N008_D028_C0562.MP4_link.csv,1.6122816704499399,0.002278330328809494,0.035209934861835566,0.009166927929307404,1.710598090927302,0.0011061468920147285,0.027502715630200212,0.0036977073699106535,fronter,8
0,aligner_N008_D028_C0587.MP4_link.csv,1.7257490081864406,0.0004789189472648991,0.009698723779639352,0.0019269442269988226,1.6933291708831253,0.0009268763714482894,0.010549952462422263,0.003098428964938864,aligner,8
0,aligner_N008_D028_C0586.MP4_link.csv,1.1419363910334286,0.0022758692892905744,0.024897718770110266,0.009157025891197768,1.100367534520616,0.003284935643122016,0.03189915070546879,0.01098111907690447,aligner,8
0,aligner_N008_D028_C0585.MP4_link.csv,1.1670296712944188,0.0017877282487455915,0.010200671422732758,0.007192976220731176,1.2256894200439374,0.0013821563361605714,0.00919931040456782,0.004620371602753893,aligner,8
0,aligner_N008_D028_C0584.MP4_link.csv,1.5264848455040751,0.0012131832627735196,0.022381479646752505,0.0048812779247072394,1.617147648956967,0.00036628123947386845,0.01620350899143734,0.0012244312631684972,aligner,8
