,Unnamed: 0,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName,miniVideoFileNamePack,locatingFileNamePack,linkingFileNamePack
19,61,20230110,Eden,fronter,,8,28,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:09,20:19,150,,,130,,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N008_D028_C0565.MP4,fronter_N008_D028_C0565.MP4_loc.csv,fronter_N008_D028_C0565.MP4_link.csv
20,62,20230110,Eden,fronter,,8,28,D:\Eden\10_1_23\fronters-28cm-8bots\C0563.MP4,D:\Eden\10_1_23\fronters-28cm-8bots\C0563.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:07,20:20,150,"2-bots stop, replaced",,130,,D:\Eden\10_1_23\fronters-28cm-8bots\C0563.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N008_D028_C0563.MP4,fronter_N008_D028_C0563.MP4_loc.csv,fronter_N008_D028_C0563.MP4_link.csv
21,63,20230105,Eden,fronter,,8,28,D:\Eden\5_1_23\fronters8passive28cm\C0562.MP4,D:\Eden\5_1_23\fronters8passive28cm\C0562.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:09,16:50,150,,,130,,D:\Eden\5_1_23\fronters8passive28cm\C0562.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N008_D028_C0562.MP4,fronter_N008_D028_C0562.MP4_loc.csv,fronter_N008_D028_C0562.MP4_link.csv
22,64,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0587.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0587.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:08,20:16,150,,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0587.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N008_D028_C0587.MP4,aligner_N008_D028_C0587.MP4_loc.csv,aligner_N008_D028_C0587.MP4_link.csv
23,65,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0586.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0586.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:12,21:16,150,spinning bot-replaced- low battery-replaced 3 times,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0586.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N008_D028_C0586.MP4,aligner_N008_D028_C0586.MP4_loc.csv,aligner_N008_D028_C0586.MP4_link.csv
24,66,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0585.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0585.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:17,20:21,150,replaced plastic,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0585.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N008_D028_C0585.MP4,aligner_N008_D028_C0585.MP4_loc.csv,aligner_N008_D028_C0585.MP4_link.csv
25,67,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0584.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0584.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:06,20:12,150,1 bot low battery-replaced-camera moved on last minute,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0584.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N008_D028_C0584.MP4,aligner_N008_D028_C0584.MP4_loc.csv,aligner_N008_D028_C0584.MP4_link.csv
26,68,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0583.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0583.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:07,20:13,150,1 bot change plastic,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0583.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N008_D028_C0583.MP4,aligner_N008_D028_C0583.MP4_loc.csv,aligner_N008_D028_C0583.MP4_link.csv
27,69,20230119,Eden,aligner,,8,28,D:\Eden\19_1_23\aligners8passive28cm\C0581.MP4,D:\Eden\19_1_23\aligners8passive28cm\C0581.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:27,20:38,150,camera maybe moved,,130,,D:\Eden\19_1_23\aligners8passive28cm\C0581.MP4_locatedFull20230320_matan.csv_linked.csv,,,updated_aligner_N008_D028_C0581.MP4,updated_test_aligner_N008_D028_C0581.MP4_loc.csv,updated_test_aligner_N008_D028_C0581.MP4_link.csv
28,70,20230112,Eden,fronter,,16,28,D:\Eden\12_1_23\fronters-28cm-16bots\C0571.MP4,D:\Eden\12_1_23\fronters-28cm-16bots\C0571.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:03,21:01,150,,,130,,D:\Eden\12_1_23\fronters-28cm-16bots\C0571.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N016_D028_C0571.MP4,fronter_N016_D028_C0571.MP4_loc.csv,fronter_N016_D028_C0571.MP4_link.csv
