,frame,distance
0,1.0,125.14391715141412
1,1.0,577.2642375896847
2,2.0,127.251719045363
3,2.0,621.6309194369276
4,2.0,597.3223585301324
5,3.0,127.1927670899568
6,4.0,577.2642375896847
7,4.0,124.10076550932311
8,5.0,624.0392615853589
9,5.0,125.06398362438324
10,6.0,124.19742348374221
11,7.0,126.0634760745554
12,7.0,577.440040177333
13,8.0,126.14277624977183
14,8.0,587.554252814155
15,8.0,577.440040177333
16,9.0,127.3184982632139
17,10.0,124.19742348374221
18,10.0,573.8928471413457
19,11.0,126.09916732476864
20,11.0,582.2791426798663
21,11.0,623.2575711533716
22,12.0,126.0634760745554
23,13.0,126.19429464123962
24,13.0,625.2327566594699
25,14.0,124.14507642270796
26,15.0,124.25779653607253
27,15.0,621.9332761639306
28,16.0,127.251719045363
29,17.0,123.14625451064275
30,17.0,578.2957720751554
31,18.0,126.0634760745554
32,19.0,126.19429464123962
33,19.0,625.8250554268341
34,20.0,125.06398362438324
35,21.0,126.09916732476864
36,21.0,625.2327566594699
37,21.0,569.9517523440032
38,22.0,127.09838708654017
39,22.0,585.1709152034131
40,22.0,587.3882872512867
41,23.0,127.09838708654017
42,23.0,622.9767250869008
43,24.0,127.1927670899568
44,24.0,576.4069742811931
45,25.0,127.3184982632139
46,26.0,127.3184982632139
47,26.0,576.066836400083
48,27.0,145.41664278891878
49,28.0,126.09916732476864
50,29.0,125.19584657647394
51,29.0,588.0688735173798
52,30.0,126.19429464123962
53,31.0,124.19742348374221
54,31.0,580.0086206255903
55,32.0,123.1990259701756
56,32.0,626.6306727251707
57,33.0,126.0634760745554
58,34.0,128.3160161476345
59,35.0,126.19429464123962
60,35.0,577.9584760170924
61,36.0,122.20065466273084
62,37.0,625.6676434018304
63,37.0,126.09916732476864
64,37.0,622.1720019415853
65,38.0,125.19584657647394
66,38.0,65.60487786742691
67,39.0,126.19429464123962
68,39.0,625.8250554268341
69,40.0,126.19429464123962
70,40.0,625.0199996800102
71,40.0,576.4069742811931
72,41.0,124.25779653607253
73,42.0,127.251719045363
74,43.0,124.25779653607253
75,43.0,75.17978451685
76,44.0,115.52488909321661
77,44.0,594.7856756849479
78,45.0,124.19742348374221
79,46.0,126.19429464123962
80,47.0,123.1990259701756
81,47.0,625.8250554268341
82,48.0,576.4069742811931
83,48.0,74.30343195303969
84,48.0,125.14391715141412
85,48.0,557.9856628982504
86,49.0,125.09996003196804
87,49.0,577.7793696559268
88,50.0,127.03542812932147
89,51.0,126.25371281669304
90,52.0,121.26417442921878
91,53.0,125.14391715141412
92,53.0,623.0128409591571
93,54.0,126.25371281669304
94,54.0,589.1086487227972
95,55.0,126.19429464123962
96,56.0,125.19584657647394
97,56.0,74.70609078247904
98,57.0,124.19742348374221
99,57.0,578.9801378285787
100,58.0,126.09916732476864
101,59.0,127.09838708654017
102,60.0,127.3184982632139
103,60.0,576.584772605035
104,60.0,568.5850859809814
105,61.0,576.4069742811931
106,61.0,126.19429464123962
107,62.0,123.25988804148737
108,63.0,127.06297651164952
109,64.0,125.25573839150046
110,65.0,626.6306727251707
111,65.0,123.1990259701756
112,65.0,589.4412608564147
113,66.0,122.2620137246234
114,66.0,577.440040177333
115,67.0,127.251719045363
116,67.0,624.627889226858
117,67.0,576.9228717948354
118,68.0,123.1990259701756
119,68.0,625.2327566594699
120,69.0,124.25779653607253
121,70.0,124.14507642270796
122,71.0,124.14507642270796
123,72.0,123.25988804148737
124,73.0,126.14277624977183
125,74.0,126.19429464123962
126,75.0,127.251719045363
127,76.0,127.3184982632139
128,77.0,127.3184982632139
129,78.0,126.14277624977183
130,78.0,569.0869880782726
131,78.0,620.0145159591024
132,79.0,123.1990259701756
133,79.0,577.440040177333
134,79.0,569.5515779979896
135,80.0,124.19742348374221
136,80.0,623.8541496215281
137,81.0,123.1990259701756
138,82.0,127.06297651164952
139,82.0,560.0366059464327
140,83.0,126.19429464123962
141,84.0,124.14507642270796
142,84.0,587.7388876023093
