,FileName,Bot_Type,diameter,mean_Vx(per_1sec),mean_Vy(per_1sec),mean_Vr(per_1sec)
0,aligner_N021_D007_C0548.MP4_link.csv,aligner,7,-0.2186109090909091,0.7527830303030303,1.9483117439797
1,aligner_N021_D007_C0547.MP4_link.csv,aligner,7,0.0328169696969697,-0.16139151515151515,0.8705976401336178
2,aligner_N021_D007_C0544.MP4_link.csv,aligner,7,-0.002438787878787879,-0.20609454545454545,0.3168281553661943
3,aligner_N021_D007_C0542.MP4_link.csv,aligner,7,-0.12443151515151515,-0.12061818181818182,1.6047703598662453
4,fronter_N021_D007_C0541.MP4_link.csv,fronter,7,-0.08203636363636364,-0.014821818181818183,0.9739628513522176
5,fronter_N021_D007_C0540.MP4_link.csv,fronter,7,0.3515975757575758,-0.526179393939394,1.7810760428325911
6,fronter_N021_D007_C0539.MP4_link.csv,fronter,7,0.05524279835390946,1.6862770919067216,2.0612860745443102
7,fronter_N021_D007_C0538.MP4_link.csv,fronter,7,-0.07412363636363636,-0.29962666666666665,1.0502690733830735
8,fronter_N021_D012_C0537.MP4_link.csv,fronter,12,0.06410909090909091,-0.2353866666666667,1.0640994618587836
9,fronter_N021_D012_C0536.MP4_link.csv,fronter,12,0.09470545454545455,-0.25483636363636364,3.4200601080258903
10,fronter_N021_D012_C0535.MP4_link.csv,fronter,12,-0.27172121212121214,-0.6988727272727273,2.5497529102780336
11,fronter_N021_D012_C0534.MP4_link.csv,fronter,12,-0.0649287356321839,-3.90592183908046,4.3635050204408525
12,fronter_N021_D012_C0533.MP4_link.csv,fronter,12,-0.35402666666666666,0.003595151515151515,2.344682718316236
13,aligner_N021_D012_C0532.MP4_link.csv,aligner,12,0.01570909090909091,-0.2361478787878788,0.8580326817711666
14,aligner_N021_D012_C0531.MP4_link.csv,aligner,12,0.31742060606060607,0.24719757575757575,1.2011115406817103
15,updated_test_aligner_N021_D012_C0530.MP4_link.csv,aligner,12,-0.03245090909090909,-0.6467757575757577,1.0401603105246437
16,aligner_N021_D012_C0529.MP4_link.csv,aligner,12,-0.287190303030303,0.1484387878787879,1.7684027111151184
17,updated_test_aligner_N021_D018_C0527.MP4_link.csv,aligner,18,-0.0022715151515151515,-0.44560727272727274,0.7421670456392826
18,aligner_N021_D018_C0526.MP4_link.csv,aligner,18,-0.05720484848484849,0.012402424242424243,0.7387186642120381
19,aligner_N021_D018_C0525.MP4_link.csv,aligner,18,0.14488727272727273,-0.031197575757575757,0.35611015353493236
20,aligner_N021_D018_C0523.MP4_link.csv,aligner,18,-0.1525260606060606,-0.10149575757575757,0.5364785116423957
21,fronter_N021_D018_C0521.MP4_link.csv,fronter,18,1.236024024024024,2.0377177177177175,2.8055158560070668
22,fronter_N021_D018_C0519.MP4_link.csv,fronter,18,0.23512000000000002,-0.13872484848484848,3.516300442840974
23,fronter_N021_D018_C0514.MP4_link.csv,fronter,18,-0.4507418181818182,-0.13816969696969697,0.9750225857535313
24,fronter_N021_D018_C0516.MP4_link.csv,fronter,18,0.23637575757575757,-0.016368484848484847,1.163231455551831
25,fronter_N021_D018_C0517.MP4_link.csv,fronter,18,-0.5834521212121212,0.297449696969697,1.283129907187957
26,fronter_N021_D028_C0490.MP4_link.csv,fronter,28,1.0567290167865706,0.25799040767386094,2.008443797916275
27,fronter_N021_D028_C0491.MP4_link.csv,fronter,28,1.945103448275862,3.450528735632184,4.009649910775005
28,updated_test_fronter_N021_D028_C0492.MP4_link.csv,fronter,28,0.7195242881072026,0.20966164154103853,0.9548640255303148
29,fronter_N021_D028_C0493.MP4_link.csv,fronter,28,0.368569696969697,-0.13273212121212122,0.9379113415322541
30,updated_test_aligner_N021_D028_C0494.MP4_link.csv,aligner,28,0.14760969696969697,-0.02426181818181818,0.6768044846479493
31,aligner_N021_D028_C0495.MP4_link.csv,aligner,28,0.2712581818181818,-0.08947878787878788,0.5415274297855629
32,aligner_N021_D028_C0497.MP4_link.csv,aligner,28,-0.16659393939393938,-0.17492363636363636,0.8092853632544661
33,aligner_N021_D028_C0498.MP4_link.csv,aligner,28,-0.5180460606060606,-0.04431030303030303,0.9300458384188551
34,updated_test_aligner_N021_D032_C0552.MP4_link.csv,aligner,32,0.07970666666666666,-0.3135781818181818,1.1437795007887746
35,updated_test_aligner_N021_D032_C0551.MP4_link.csv,aligner,32,-0.5725454545454546,-0.004795151515151515,0.9410762213069206
36,updated_test_aligner_N021_D032_C0550.MP4_link.csv,aligner,32,0.09296969696969697,0.00655030303030303,0.9724157948385718
37,updated_test_aligner_N021_D032_C0549.MP4_link.csv,aligner,32,0.08461090909090908,-0.07722181818181818,0.3706236696143214
38,fronter_N021_D032_C0500.MP4_link.csv,fronter,32,1.7770704225352112,3.860037558685446,4.596745177078334
39,fronter_N021_D032_C0501.MP4_link.csv,fronter,32,-0.8635008210180624,0.44280459770114944,1.9431096397139598
40,updated_test_fronter_N021_D032_C0502.MP4_link.csv,fronter,32,0.466310303030303,-0.10602424242424242,1.7572622421464488
41,fronter_N021_D032_C0503.MP4_link.csv,fronter,32,0.2636290909090909,0.29952969696969695,1.1821924314750516
