,BotNum,BotType,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err
0,1,fronter,1.8433517098860435,0.0008339487052832373,0.02221186253514415,0.0027296478517579194,1.890613663538088,0.00024389842371367937,0.01960794409306912,0.000657560398968277
0,1,aligner,1.4330006448449848,0.003288451388738896,0.030685827505043946,0.01076362876121216,1.6181158622542515,0.0019399609989973043,0.019063807702830317,0.0052277609888870934
0,4,fronter,1.7424413955689,0.0012531476514635468,0.06464547593179028,0.004102986577641989,1.8125051841718238,0.000764442400882234,0.05397920354663655,0.00206000129106516
0,4,aligner,1.6621216908244199,0.0007945119642175667,0.030162701885175086,0.0026005650978337186,1.708486389650747,0.00046810716442801005,0.026758209093092115,0.0012620365956044672
0,8,fronter,1.6793943648516139,0.0014635556370089183,0.059568829959043224,0.004791892717807018,1.7593547610482863,0.0009112131993618895,0.048494509552871934,0.0024555157615187354
0,8,aligner,1.5759641427331492,0.000666821278151098,0.0478741838571997,0.0021826129800614135,1.6147659971719772,0.0002864272091044291,0.04323253919486645,0.0007722197912128733
0,16,fronter,1.762618003598989,0.001144499835493603,0.134138737172041,0.0037461314959738464,1.822298829058847,0.0006793066143557203,0.11498075130727778,0.001831439178153881
0,16,aligner,1.477993269258313,0.001617041085345977,0.09494675237092395,0.005292834783203752,1.5657869271659242,0.0012607884882740673,0.0759724410876339,0.0033991387491902124
0,21,fronter,1.6586292956609299,0.001176179743222814,0.18217687438477378,0.0038498249162233133,1.7225723999142903,0.0009168866970720429,0.15493839089184683,0.002471965046081506
0,21,aligner,1.4736854203246157,0.0017838771616326787,0.11637652479445308,0.00583891600537354,1.5653117813691844,0.0012007424572969669,0.09212975910376983,0.0032372521013990943
0,53,fronter,1.6273957677925042,0.0008431360352116011,0.32846500636888,0.00276054925920872,1.6651056240691162,0.001035881650459982,0.29985724891389354,0.0027927804524910684
0,53,aligner,1.5393811971539348,0.0004710815499582334,0.08097643011446672,0.0015419254522942227,1.5633025954293016,0.0007610475956073143,0.07648956945292977,0.002051816292342338
