,diameter,BotType,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err
0,7,fronter,1.0775899125483834,0.0013048211817551119,1.7097884820399643,0.004090498621767717,1.2388434759254827,0.0013048211817551119,1.1322902118657592,0.004090498621767717
0,7,aligner,1.117655545413238,0.0013048211817551119,1.1026052730902944,0.004090498621767717,1.1009160691519937,0.0013048211817551119,1.1599556106033273,0.004090498621767717
0,12,fronter,1.3260355971703524,0.0013048211817551119,1.626506746359556,0.004090498621767717,1.5479289483332492,0.0013048211817551119,0.9184256792973171,0.004090498621767717
0,12,aligner,1.1556999933883252,0.0013048211817551119,0.9447335716966119,0.004090498621767717,1.3609664510240815,0.0013048211817551119,0.5568449647311159,0.004090498621767717
0,18,fronter,1.5688636503466318,0.0013048211817551119,0.5029195417942135,0.004090498621767717,1.6837793642785204,0.0013048211817551119,0.3740223503363144,0.004090498621767717
0,18,aligner,1.2554216329536672,0.0013048211817551119,0.145137200572514,0.004090498621767717,1.3486288321655466,0.0013048211817551119,0.11521982070188452,0.004090498621767717
0,28,fronter,1.6586292953751,0.0013048211817551119,0.17884951307446215,0.004090498621767717,1.722572399423652,0.0013048211817551119,0.15210852567924726,0.004090498621767717
0,28,aligner,1.4736854207650585,0.0013048211817551119,0.1142509707672259,0.004090498621767717,1.5653117814243893,0.0013048211817551119,0.09044705917232049,0.004090498621767717
0,32,fronter,1.640125823333608,0.0013048211817551119,0.2547743257614745,0.004090498621767717,1.7775349467133403,0.0013048211817551119,0.17771767168699346,0.004090498621767717
0,32,aligner,1.6168291784769009,0.0013048211817551119,0.06912650936294687,0.004090498621767717,1.6573435181041507,0.0013048211817551119,0.06236177923186815,0.004090498621767717
