No.,date,operator,bottype,No.,angle,angle_err,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting_point,p0_1,p0_2
17,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:03,3:06,down,,
18,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:09,3:12,down,,
19,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:17,3:20,down,,
20,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:22,3:25,down,,
21,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:31,3:34,down,,
22,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:39,3:42,down,,
23,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:45,3:48,down,,
24,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,3:57,4:00,down,,
25,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:08,4:11,down,,
26,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:25,4:28,down,,
27,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,4:37,4:40,down,,
28,20240617,Eden,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:03,0:05,up,,
29,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:17,0:18,up,,
30,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:34,0:35,up,,
31,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,0:49,0:50.5,up,,
32,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:08,1:10,up,,
33,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:20,1:21.5,up,,
34,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:33,1:34.5,up,,
35,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,1:48,1:50,up,,
36,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,2:03,2:04,up,,
37,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,2:15,2:16.5,up,,
38,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,2:27,2:29,up,,
39,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,2:51,2:53,down,,
40,,,fronter,5,9.4,0.3,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0874.MP4_locatedFull20240624_bot_Eden_test_battery.csv,3:02,3:04,down,,
