bottype,slope,slope_err,A,index
aligner,0.8,0.0,0.38773134589294095,4.183300132670378
aligner,2.1,0.0,0.27736304386888766,8.514693182963201
aligner,4.1,0.0,1.7819435357832665,3.598941643369749
aligner,5.4,0.0,0.43132539694094013,2.449489742783178
aligner,5.55,0.0,0.17674661672142622,7.683975420371248
aligner,7.25,0.0,1.4339126975932919,2.449489742783178
aligner,7.7,0.0,1.2400606203837583,4.06201920231798
aligner,9.4,0.04351941398892446,1.3268038246864013,69.96770088166873
aligner,11.35,0.0,0.2149290223029233,6.2886897719333605
fronter,0.8,0.0,1.1624802513194312,5.627314338711377
fronter,2.25,0.0,0.2468054982453779,7.4258236676383005
fronter,4.35,0.0,0.2208570037527004,4.289223227746014
fronter,5.4,0.0,0.43775697474125663,3.8944404818493075
fronter,7.25,0.0,0.4393000730440746,6.467161342055405
fronter,9.4,0.0,0.3737969023051922,3.3166247903554
fronter,11.5,0.0,0.30210567448134,4.183300132670378
