bottype,slope,slope_err,A,index
aligner,0.8,0.2,0.14358249380565097,352.5
aligner,2.1,0.2,0.2782219042957816,228.0
aligner,4.1,0.2,0.8920656432551167,169.42857142857142
aligner,5.4,0.1,-0.9416551412822793,141.5
aligner,5.55,0.25,0.4534854384262867,254.95652173913044
aligner,7.25,0.15,-1.0321528044135526,157.5
aligner,7.7,0.1,0.7374680599522969,273.25
aligner,9.4,0.22424242424242424,0.4976080781746465,270.6666666666667
aligner,11.35,0.35,0.6501538457106358,188.95238095238096
fronter,0.8,0.2,-0.5735478411819672,336.0
fronter,2.25,0.25,-0.5518597148914235,57.714285714285715
fronter,4.35,0.25,-0.5224079749057213,115.3076923076923
fronter,5.4,0.1,-0.9656837095715312,7.0
fronter,7.25,0.15,-0.8209127921392302,88.85714285714286
fronter,9.4,0.3,-0.9377489755195825,33.0
fronter,11.5,0.4,-1.0313203147476935,130.5
