frame,Unnamed: 0,frame,x,y,r,particle
199,159,199,629.5,561.5,30.7,0
200,160,200,625.5,562.5,30.9,0
201,161,201,628.5,561.5,30.9,0
202,162,202,629.5,561.5,30.7,0
203,163,203,629.5,562.5,30.9,0
204,164,204,629.5,561.5,30.7,0
205,165,205,628.5,562.5,30.6,0
207,166,207,631.5,566.5,36.4,0
210,167,210,631.5,559.5,30.9,0
211,168,211,630.5,561.5,31.3,0
212,169,212,626.5,563.5,32.0,0
213,170,213,625.5,559.5,30.8,0
214,171,214,628.5,562.5,30.7,0
215,172,215,627.5,561.5,32.0,0
216,173,216,628.5,561.5,30.9,0
218,174,218,624.5,564.5,33.1,0
221,175,221,643.5,556.5,32.0,0
222,176,222,628.5,562.5,30.9,0
223,177,223,629.5,561.5,30.9,0
224,178,224,629.5,561.5,30.7,0
226,179,226,628.5,561.5,30.9,0
227,180,227,628.5,561.5,30.9,0
228,181,228,629.5,561.5,30.7,0
229,182,229,629.5,561.5,30.7,0
230,183,230,629.5,562.5,30.7,0
231,184,231,629.5,561.5,30.7,0
233,185,233,630.5,562.5,30.7,0
235,186,235,628.5,561.5,30.9,0
237,187,237,630.5,562.5,30.7,0
238,188,238,629.5,561.5,30.9,0
239,189,239,628.5,561.5,30.9,0
240,190,240,629.5,560.5,30.9,0
243,191,243,628.5,562.5,30.9,0
244,192,244,628.5,562.5,30.9,0
246,193,246,622.5,569.5,32.0,0
247,194,247,626.5,566.5,36.4,0
248,195,248,628.5,561.5,30.9,0
249,196,249,629.5,560.5,30.9,0
250,197,250,626.5,560.5,30.8,0
251,198,251,628.5,562.5,30.8,0
252,199,252,624.5,563.5,34.2,0
253,200,253,628.5,561.5,30.9,0
254,201,254,625.5,566.5,36.4,0
257,202,257,629.5,561.5,30.9,0
261,203,261,628.5,561.5,30.8,0
262,204,262,629.5,560.5,30.8,0
265,205,265,628.5,560.5,30.9,0
266,206,266,629.5,562.5,30.9,0
267,207,267,628.5,562.5,30.9,0
268,208,268,629.5,560.5,30.8,0
269,209,269,630.5,561.5,31.8,0
270,210,270,629.5,561.5,30.7,0
271,211,271,628.5,561.5,30.9,0
272,212,272,629.5,562.5,30.8,0
273,213,273,630.5,560.5,31.9,0
274,214,274,630.5,558.5,34.2,0
275,215,275,629.5,560.5,30.9,0
276,216,276,628.5,561.5,30.9,0
277,217,277,624.5,565.5,34.2,0
279,218,279,625.5,564.5,33.1,0
280,219,280,628.5,562.5,30.9,0
281,220,281,629.5,562.5,30.8,0
282,221,282,629.5,561.5,30.7,0
283,222,283,626.5,563.5,32.0,0
284,223,284,629.5,561.5,30.7,0
285,224,285,627.5,561.5,32.0,0
287,225,287,629.5,561.5,30.8,0
288,226,288,628.5,562.5,30.9,0
289,227,289,628.5,561.5,30.9,0
290,228,290,621.5,559.5,36.4,0
291,229,291,628.5,562.5,30.8,0
292,230,292,626.5,561.5,32.0,0
293,231,293,628.5,562.5,30.8,0
294,232,294,629.5,562.5,30.7,0
295,233,295,628.5,562.5,30.9,0
296,234,296,624.5,562.5,34.2,0
297,235,297,628.5,561.5,30.9,0
298,236,298,624.5,561.5,33.1,0
299,237,299,628.5,561.5,30.9,0
301,238,301,626.5,563.5,32.0,0
302,239,302,630.5,560.5,30.9,0
303,240,303,630.5,561.5,31.9,0
305,242,305,629.5,562.5,30.9,0
306,243,306,628.5,562.5,30.9,0
308,244,308,629.5,561.5,30.7,0
309,245,309,628.5,561.5,30.9,0
311,246,311,628.5,559.5,32.0,0
312,247,312,628.5,560.5,30.5,0
313,248,313,629.5,560.5,30.9,0
314,249,314,629.5,562.5,30.7,0
315,250,315,629.5,563.5,30.9,0
318,251,318,629.5,563.5,30.9,0
319,252,319,630.5,562.5,30.8,0
320,253,320,630.5,562.5,30.7,0
321,254,321,630.5,563.5,30.8,0
324,255,324,629.5,563.5,30.9,0
325,256,325,629.5,562.5,30.8,0
327,257,327,629.5,564.5,30.8,0
328,258,328,630.5,567.5,32.0,0
329,259,329,630.5,563.5,30.8,0
330,260,330,628.5,563.5,32.0,0
331,261,331,632.5,561.5,30.9,0
332,262,332,630.5,566.5,30.9,0
334,263,334,629.5,564.5,30.8,0
335,264,335,631.5,565.5,30.7,0
336,265,336,630.5,563.5,30.9,0
337,266,337,630.5,566.5,32.0,0
338,267,338,631.5,563.5,30.8,0
339,268,339,631.5,565.5,30.9,0
340,269,340,632.5,566.5,30.8,0
341,270,341,631.5,565.5,30.8,0
342,271,342,630.5,565.5,30.9,0
343,272,343,628.5,566.5,30.9,0
344,273,344,631.5,565.5,30.6,0
346,274,346,631.5,566.5,30.7,0
347,275,347,632.5,565.5,30.9,0
348,276,348,627.5,568.5,33.1,0
349,277,349,632.5,565.5,30.7,0
351,278,351,629.5,566.5,33.1,0
352,279,352,627.5,567.5,34.2,0
353,280,353,631.5,565.5,30.9,0
354,281,354,632.5,565.5,30.7,0
355,282,355,628.5,566.5,32.0,0
357,283,357,631.5,568.5,30.9,0
358,284,358,633.5,566.5,30.8,0
360,285,360,631.5,568.5,32.0,0
362,286,362,633.5,568.5,30.8,0
363,287,363,629.5,567.5,32.0,0
364,288,364,630.5,568.5,33.1,0
365,289,365,632.5,570.5,30.9,0
366,290,366,633.5,569.5,30.7,0
367,291,367,635.5,567.5,31.1,0
368,292,368,634.5,568.5,30.7,0
369,293,369,634.5,568.5,30.7,0
371,294,371,633.5,568.5,30.9,0
372,295,372,631.5,570.5,30.8,0
374,296,374,635.5,569.5,30.9,0
376,297,376,635.5,569.5,30.7,0
378,298,378,634.5,568.5,32.0,0
379,299,379,635.5,570.5,30.9,0
380,300,380,635.5,569.5,30.8,0
381,301,381,635.5,570.5,30.8,0
383,302,383,637.5,570.5,31.5,0
386,303,386,636.5,571.5,30.7,0
387,304,387,636.5,571.5,30.7,0
388,305,388,637.5,571.5,30.9,0
389,306,389,634.5,576.5,30.9,0
390,307,390,636.5,571.5,30.9,0
391,308,391,636.5,571.5,30.8,0
392,309,392,637.5,572.5,30.9,0
393,310,393,637.5,573.5,30.7,0
394,311,394,637.5,571.5,30.7,0
395,312,395,637.5,572.5,30.9,0
396,313,396,640.5,571.5,30.7,0
397,314,397,635.5,573.5,30.8,0
398,315,398,638.5,574.5,30.8,0
399,316,399,637.5,573.5,30.9,0
400,317,400,638.5,573.5,30.7,0
401,318,401,636.5,577.5,34.2,0
402,319,402,637.5,573.5,30.9,0
403,320,403,638.5,573.5,30.9,0
404,321,404,638.5,575.5,30.8,0
405,322,405,635.5,573.5,31.9,0
407,323,407,637.5,575.5,30.9,0
408,324,408,636.5,575.5,30.9,0
409,325,409,638.5,573.5,30.7,0
411,326,411,637.5,576.5,30.8,0
412,327,412,642.5,563.5,36.4,0
414,328,414,638.5,574.5,30.9,0
415,329,415,639.5,576.5,30.7,0
416,330,416,639.5,575.5,30.7,0
417,331,417,640.5,575.5,30.7,0
418,332,418,639.5,575.5,30.8,0
420,333,420,641.5,579.5,30.9,0
421,334,421,640.5,576.5,30.7,0
423,335,423,639.5,577.5,30.7,0
424,336,424,639.5,578.5,30.9,0
426,337,426,641.5,577.5,30.9,0
427,338,427,639.5,577.5,30.8,0
428,339,428,640.5,577.5,30.8,0
430,340,430,640.5,578.5,30.7,0
431,341,431,641.5,579.5,30.8,0
432,342,432,641.5,579.5,30.7,0
433,343,433,641.5,580.5,30.8,0
434,344,434,641.5,579.5,30.8,0
435,345,435,642.5,579.5,30.9,0
436,346,436,640.5,580.5,32.0,0
437,347,437,641.5,579.5,30.8,0
438,348,438,641.5,580.5,30.9,0
440,349,440,642.5,580.5,30.8,0
442,350,442,638.5,578.5,30.8,0
443,351,443,641.5,581.5,32.0,0
444,352,444,642.5,582.5,30.9,0
445,353,445,643.5,582.5,30.8,0
446,354,446,642.5,582.5,30.8,0
448,355,448,643.5,580.5,30.8,0
449,356,449,643.5,582.5,30.9,0
450,357,450,644.5,583.5,30.9,0
451,358,451,644.5,583.5,30.9,0
452,359,452,643.5,581.5,30.8,0
453,360,453,643.5,583.5,30.9,0
454,361,454,644.5,583.5,30.9,0
455,362,455,643.5,583.5,30.8,0
456,363,456,641.5,586.5,32.0,0
457,364,457,644.5,584.5,30.4,0
458,365,458,644.5,584.5,30.5,0
460,366,460,642.5,584.5,30.9,0
461,367,461,649.5,588.5,32.0,0
462,368,462,644.5,585.5,30.9,0
463,369,463,648.5,588.5,30.9,0
464,370,464,645.5,585.5,30.8,0
465,371,465,644.5,586.5,30.9,0
