,t,alighners_count,fit
0,1.96,,20.860393060969955
1,2.0,,20.84168227315612
2,2.04,,20.822611952216857
3,2.08,,20.803183187147074
4,2.12,,20.78339708666808
5,2.16,,20.763254779122175
6,2.2,,20.742757412365386
7,2.24,,20.721906153658484
8,2.28,,20.70070218955622
9,2.32,,20.679146725794784
10,2.36,,20.65724098717758
11,2.4,,20.63498621745924
12,2.44,,20.612383679227968
13,2.48,,20.589434653786164
14,2.52,,20.56614044102941
15,2.56,,20.542502359323787
16,2.6,,20.518521745381534
17,2.64,,20.49419995413512
18,2.68,,20.469538358609675
19,2.72,,20.444538349793863
20,2.76,,20.419201336509165
21,2.8,,20.3935287452776
22,2.84,,20.36752202018793
23,2.88,,20.341182622760325
24,2.92,,20.31451203180953
25,2.96,,20.287511743306585
26,3.0,,20.26018327023898
27,3.04,,20.232528142469487
28,3.08,,20.20454790659348
29,3.12,,20.176244125794856
30,3.16,,20.14761837970059
31,3.2,,20.118672264233883
32,3.24,,20.089407391466
33,3.28,,20.059825389466717
34,3.32,,20.0299279021535
35,3.36,,19.999716589139364
36,3.4,,19.969193125579455
37,3.44,,19.9383592020164
38,3.48,,19.90721652422438
39,3.52,,19.875766813052028
40,3.56,,19.844011804264092
41,3.6,,19.811953248381965
42,3.64,,19.779592910523018
43,3.68,,19.74693257023882
44,3.72,,19.713974021352254
45,3.76,,19.680719071793504
46,3.8,,19.647169543435023
47,3.84,,19.613327271925385
48,3.88,,19.57919410652217
49,3.92,20.245,19.544771909923796
50,3.96,20.24,19.51006255810039
51,4.0,20.24,19.47506794012367
52,4.04,20.245,19.439789957995906
53,4.08,20.24,19.40423052647795
54,4.12,20.25,19.36839157291635
55,4.16,20.25,19.332275037069614
56,4.2,20.25,19.295882870933593
57,4.24,20.255,19.25921703856603
58,4.28,20.265,19.222279515910323
59,4.32,20.255,19.185072290618443
60,4.36,20.265,19.147597361873153
61,4.4,20.285,19.10985674020942
62,4.44,20.28,19.07185244733513
63,4.48,20.29,19.033586515951104
64,4.52,20.29,18.99506098957042
65,4.56,20.3,18.956277922337087
66,4.6,20.285,18.917239378844084
67,4.64,20.3,18.877947433950776
68,4.68,20.3,18.838404172599752
69,4.72,20.275,18.798611689633102
70,4.76,20.29,18.758572089608126
71,4.8,20.285,18.718287486612535
72,4.84,20.285,18.677760004079158
73,4.88,20.28,18.636991774600155
74,4.92,20.275,18.59598493974079
75,4.96,20.27,18.554741649852787
76,5.0,20.26,18.513264063887217
77,5.04,20.26,18.47155434920708
78,5.08,20.265,18.429614681399457
79,5.12,20.265,18.387447244087355
80,5.16,20.265,18.345054228741237
81,5.2,20.255,18.302437834490224
82,5.24,20.265,18.259600267933063
83,5.28,20.255,18.21654374294881
84,5.32,20.255,18.173270480507323
85,5.36,20.24,18.129782708479503
86,5.4,20.23,18.086082661447392
87,5.44,20.215,18.04217258051409
88,5.48,20.205,17.998054713113557
89,5.52,20.195,17.95373131282025
90,5.56,20.185,17.909204639158723
91,5.6,20.15,17.86447695741313
92,5.64,20.135,17.819550538436687
93,5.68,20.12,17.774427658461068
94,5.72,20.095,17.72911059890588
95,5.76,20.045,17.683601646188087
96,5.8,20.025,17.637903091531477
97,5.84,20.01,17.59201723077624
98,5.88,19.985,17.545946364188573
99,5.92,19.955,17.499692796270434
